Date,1990_base,1990_cc_ideal_h5,1995_base,1995_cc_ideal_h5,2000_base,2000_cc_ideal_h5,2005_base,2005_cc_ideal_h5,2010_base,2010_cc_ideal_h5,2015_base,2015_cc_ideal_h5,2020_base,2020_cc_ideal_h5
2016-03-11,29307381.76285369,98217215.08521448,11867481.80823647,17154403.289103117,13971345.643707411,25582608.94782877,3635904.013936376,5608649.283603015,2749871.276151538,2897368.35718931,1052633.009707873,1038201.5029002826,,
2016-03-18,29983435.509534054,99481579.24133097,12133041.702617398,17506734.514618754,14100771.070762068,25753375.110795207,3698799.567516421,5675240.727111799,2809427.2898806385,2956881.9269475504,1068799.9178402747,1056974.9863503922,,
2016-03-25,29610762.41872319,98676673.24468523,12078163.816771802,17438166.15135604,14069883.608243626,25638078.822491314,3681878.46370543,5697265.874439703,2779517.0812926805,2937472.8096143515,1061881.7941157655,1052959.369069849,,
2016-04-01,29948575.18211262,99509447.89733489,12202193.086997338,17602421.78549505,14300578.970281107,26296451.97021597,3741913.223720213,5765955.256347177,2823937.1369982287,2973202.9588416973,1089783.1869402423,1076889.0441724998,,
2016-04-08,29606897.99057684,98262848.62115578,12009698.3465004,17368293.03253052,13966299.142997522,25636499.882552806,3667065.0794204334,5681487.533527686,2770913.145905126,2926507.215244854,1074124.8093421955,1057236.392423083,,
2016-04-15,30342259.997761708,101284876.30035049,12222274.043178191,17612793.009699553,14083462.09078774,26046944.83367409,3727670.661702404,5774023.6243968615,2815541.166041933,2972641.2735158545,1086664.8053409548,1068624.6279528055,,
2016-04-22,30443899.28843552,102655587.2614168,12255010.759814514,17615959.14818093,13984046.39923492,25899092.510018982,3741031.581732447,5795422.953922246,2806870.121679914,2963215.318033628,1088379.4181207668,1071843.861604355,,
2016-04-29,30425212.743801944,102497074.40411285,12191404.024581471,17483074.052011587,13844571.74585145,25590289.505149227,3728826.0307031535,5769155.643920306,2766400.016187085,2918137.645582015,1081835.102889359,1060056.8793579424,,
2016-05-06,30319894.92246103,102302099.47414616,12188835.522941813,17456221.17143894,13980935.41774693,25844782.34927483,3750910.727717225,5806902.660065964,2777749.9120959146,2931362.7806782164,1079408.9008524742,1058446.8992011426,,
2016-05-13,30016119.511720497,100891675.2593956,12108262.184191572,17410335.801736064,13683442.88397929,25326812.233770806,3699492.393230311,5757634.314733667,2741412.5320500885,2902907.117297206,1076229.0448607598,1057446.6431828346,,
2016-05-20,29361045.86191389,98842678.40974078,11950828.738199629,17189646.483578093,13537061.811745731,25069082.678163853,3695353.328878119,5770944.917912208,2733609.193536135,2901384.0847033747,1079095.222808499,1062233.7394587467,,
2016-05-27,29831316.49009386,100468179.660087,12197538.496442689,17578746.361445438,13867365.6885174,26412700.288615998,3766731.064343408,5896559.032408286,2793163.1944604428,2961973.626781682,1114783.4020224945,1087109.8393199483,,
2016-06-03,29760701.370504245,100387759.55619541,12205705.799787736,17621027.500067316,13783109.056588322,26470722.44440428,3773724.05066021,5916924.614843947,2794931.723693959,2964304.606204632,1118339.1739747752,1088822.7351270635,,
2016-06-10,29530585.22564038,99024994.02388567,12168894.330462076,17587322.582446482,13781189.844020177,26454504.168263976,3769839.6905821455,5908530.299623304,2794575.7054760344,2964631.887614027,1110013.9049625,1080329.0288568744,,
2016-06-17,29656720.96696054,99596336.7693409,12222283.128427384,17639445.34833678,13766257.74614709,26449170.113762762,3779375.4426703737,5928480.571463983,2781158.036360807,2945125.278168526,1102883.9244678733,1074399.7222045166,,
2016-06-24,28475061.504573934,95038040.39313523,11902153.69746278,17147138.36102317,13786126.038948324,26425925.054175433,3735686.14452911,5878406.300486125,2719069.3430846934,2883518.9487427967,1078491.1552517554,1051668.7704655982,,
2016-07-01,29937699.331674024,99659577.8036041,12418467.423043383,17901852.517160058,14289392.855864044,27193818.22362,3864102.5907819807,6075457.544452829,2830525.6992465146,2999202.4164242432,1102261.307895077,1079978.8117573897,,
2016-07-08,30698151.900726788,101761796.09684326,12641834.246182095,18255802.784975883,14793657.2752148,27779949.10669167,4035735.858566816,6245747.318708957,2950590.1026573554,3106703.43689081,1118973.1376646874,1095222.4966300393,,
2016-07-15,30980324.2521136,102665517.84674942,12758310.503673444,18429502.302026544,14704234.451495076,27673415.02925527,4039659.3282749495,6264053.974820741,2970327.076512082,3132001.871337882,1122430.306799431,1099171.3317743517,,
2016-07-22,30876987.465532344,102126499.06997274,12750531.061913384,18391148.72213172,14786462.424236408,27834349.92208336,4092772.937956328,6310221.827992105,3000358.7934018904,3141598.4622942433,1131484.4253045751,1102855.6897548174,,
2016-07-29,30511362.350442447,100822883.51631212,12673476.68850928,18292464.40577494,15048351.817028722,28079360.44518984,4148935.9228486726,6366292.734554659,3032996.040438369,3175252.7072709906,1146778.743125333,1115309.8742370955,,
2016-08-05,30505519.44175151,101382892.99883802,12686311.128644357,18350356.244795248,15033699.82568676,28150120.2931474,4131548.3407408902,6351893.661880438,3043220.467611336,3191845.937298416,1153330.2910240174,1123773.8197091573,,
2016-08-12,30849906.19686686,102348071.756309,12758212.958183013,18419325.31317123,15036234.574714296,28086921.502144035,4155561.650046327,6366003.332038703,3058553.719240256,3202946.93391266,1143901.0077239978,1116866.3833949363,,
2016-08-19,30717281.657610524,101432210.11676008,12776516.874535937,18446190.00056305,14980459.16470967,27891309.098960396,4135461.9383693337,6350844.227534418,3059963.47242104,3202707.3372509317,1144508.4506080446,1118255.8362394439,,
2016-08-26,30705394.610680748,101206104.49427095,12691629.229027906,18345247.60287182,14646287.179284252,26668188.5480396,4096782.706977391,6264503.034029127,3041086.9145659804,3185097.424120493,1117278.7845854375,1092492.160109843,,
2016-09-02,30633107.89462241,101166162.05264711,12700282.282781746,18412121.58718161,14573196.58292459,26426516.69894754,4085437.356999508,6263655.352174356,3037360.5237816884,3187620.503782102,1114398.4610690458,1092366.174516002,,
2016-09-09,30043129.844629057,100045701.66020583,12485373.797146974,18167825.800114408,14171613.606290895,25788118.901206195,3973971.2960290974,6133572.147789153,2969799.1493807747,3122600.8486474603,1077371.3012982637,1056446.1203231884,,
2016-09-16,29655552.699114937,98992762.23491126,12460033.585948266,18235726.559739336,14083371.18328941,25719357.592777967,3985098.141641752,6179073.229325037,2997197.667639118,3156486.6258531576,1084913.5380885934,1066837.1299528175,,
2016-09-23,29592309.031671,98929387.62660262,12455158.34571505,18213437.052259218,14291623.31845354,25867987.053276196,4028695.0028336593,6240534.825140463,3030292.168969637,3192059.736237322,1092933.982964689,1076024.2565370693,,
2016-09-30,29766454.078578237,99400641.51963674,12498293.270374509,18356875.51165071,14283941.755601369,25774004.492896535,4051279.110059214,6262957.904496061,3032393.8263449785,3189395.6504587135,1094194.2881161126,1073339.7552245648,,
2016-10-07,29407713.33474313,98563961.04898208,12419462.843799638,18309961.71076008,14164279.578165036,25600829.51324046,4025955.7017752375,6240372.66127975,3025870.994334229,3186153.3193222545,1101285.9090395642,1083104.8793839219,,
2016-10-14,28795384.725787077,96600428.27881673,12193446.075744018,17987907.574874613,14166257.796689412,25516095.107076198,3974411.2259571855,6153170.542115409,2988440.658362538,3154120.7065445986,1076193.7203809824,1060601.7368203062,,
2016-10-21,29185233.69426657,99280620.53662728,12400026.86050621,18103685.400107693,14077113.716385469,25435515.847998645,4056110.153449783,6316829.825649582,3028959.192163559,3206562.161122157,1082748.4405420104,1070753.780694094,,
2016-10-28,28875237.19339812,98545576.27932508,12260529.870361453,17918071.007984318,13777101.852306977,24974727.385518227,4002788.462427762,6230156.000172379,2991856.1738472474,3171081.2150107455,1064047.946031849,1054454.1333684437,,
2016-11-04,29319813.97947612,99340018.10277556,12386461.42596574,17988246.925027676,13630473.486897312,24652157.661422092,4011106.216715644,6212028.579451673,2985741.2588537093,3149891.3522870746,1051602.52525608,1042245.9132065849,,
2016-11-11,29938245.7565332,102783472.37352866,12721790.414859109,18380712.47928116,13914545.178901857,25401487.00282618,4108737.472087273,6373996.280664295,3016527.588167144,3191219.520982672,1078941.435307959,1074080.7152650007,,
2016-11-18,30088931.61065284,102992389.60103905,12780466.91817315,18495679.76502784,14232464.453075211,25963977.593467753,4187919.236015153,6435338.170812989,3087277.922329253,3237353.4676947054,1093804.2135779092,1088758.9016168723,,
2016-11-25,30073464.86917557,103657712.83256233,12872667.84341242,18659705.609696396,14639350.13171226,26837141.22851229,4237131.936223821,6509487.649166955,3113915.750959703,3264173.5482531404,1106253.1955178082,1091285.2390982208,,
2016-12-02,30210476.77766141,104241451.98309515,12895138.186140971,18590021.422541898,14487868.392072184,26643394.033296704,4205715.660340606,6523370.653839931,3087016.9947858825,3248687.1668914882,1091192.0436169475,1079202.879199146,,
2016-12-09,30870662.1629317,106986584.7151278,13242265.471117042,19096306.230907716,14677619.683490545,26935783.76519133,4295733.181262548,6633280.298247163,3164996.903979127,3333078.6947667664,1122669.868920936,1111477.8717362203,,
2016-12-16,30936773.090976443,107596705.97167726,13331122.085872296,19250301.647345778,14674286.964925226,26624679.50110751,4314991.935196035,6662030.55153249,3178903.776096638,3345004.1201015958,1112532.4614771188,1104898.4977494697,,
2016-12-23,30991675.375810657,107910215.67038867,13370394.457542652,19315424.28776381,14555126.39660664,26068047.113319747,4295756.613941155,6653971.070612028,3180891.7490661726,3346920.3220902327,1108916.217695183,1102144.6759247305,,
2016-12-30,30631166.640536036,106548923.39153077,13182444.535935372,19037638.07946481,14329568.766866509,25625610.838610984,4230975.552444531,6538731.667337794,3134576.2029511686,3292676.4873853954,1096905.1853096206,1087817.9910269864,,
2017-01-06,31162658.926666263,108913365.5331487,13337752.18650417,19254974.230105646,14487781.750931464,25938338.63896258,4265897.618038285,6637145.775006178,3175724.3619337245,3352201.439822857,1116705.4468775776,1110481.8524697775,,
2017-01-13,31257982.620646644,109457552.55188124,13364947.217823807,19323310.05305289,14496871.679562427,26024498.991736226,4298728.447802766,6721800.077886329,3204628.9060283136,3383717.3789951312,1122113.7541866135,1119945.6459271312,,
2017-01-20,31368473.91508423,109692967.54234004,13349366.43539195,19330629.424519632,14369558.219723236,25855524.584755428,4260164.929050553,6685155.577175893,3186719.456151148,3374922.5046385806,1118421.1991287312,1121394.6377487835,,
2017-01-27,31716410.763348736,111737372.82685977,13536905.926447492,19608521.003497843,14070884.355638888,25377337.620195583,4256927.691129601,6731449.274041726,3196281.080461996,3390755.1161740427,1115172.7950320484,1121667.51116265,,
2017-02-03,31639026.765664384,111692539.94172835,13394946.06705358,19413402.038249154,14078350.531503,25541920.730875902,4248975.739606653,6728578.216168085,3194572.12880751,3383091.3003782844,1114075.428561397,1120510.8180332708,,
2017-02-10,32394732.50608121,113176032.44112653,13557895.441062218,19579743.15958497,14554016.709583724,26170872.006759156,4334306.258435647,6841977.254114235,3260463.239998845,3447561.5613338845,1142377.6469140253,1145723.60163084,,
2017-02-17,32734141.691719804,113772310.70800412,13639959.45410739,19707887.712661978,14649919.4538807,26485641.878731515,4352965.612138888,6834341.62764837,3284747.085840738,3474085.3212177777,1153113.8904556714,1156290.9125023189,,
2017-02-24,33030434.76006101,114201535.54416661,13888118.26837379,20001489.539952423,14724623.536186222,26561794.109934542,4429590.755114586,6952084.947074158,3329997.176491952,3513968.058903455,1160501.7657171306,1166749.995218963,,
2017-03-03,33094956.262025498,114571770.43222381,13901170.357019238,19988658.50632415,14612610.992896205,26328245.32516672,4444798.582567913,7004655.765128542,3340652.31055286,3529992.1872770265,1171738.774091757,1179017.0892089338,,
