Date,1990_dow_none,1990_dow_all,1990_claude_none,1990_claude_all,2000_dow_none,2000_dow_all,2000_claude_none,2000_claude_all,2015_dow_none,2015_dow_all,2015_claude_none,2015_claude_all
2003-06-02,816706.8728860551,6388305.167535735,736029.1701612085,5954186.424607218,171386.8296428263,304386.75728346483,169851.64554115263,297214.3125303417,,,,
2003-06-03,817729.0112983893,6389087.915012834,737819.122624864,5966381.811610149,171375.3371471308,304944.94586514385,170250.17510833123,297987.7858403074,,,,
2003-06-04,827579.6720582893,6463130.681890958,748927.4322315418,6028728.186294806,173274.9527080113,307175.9504817989,172086.2356170025,300124.6390405322,,,,
2003-06-05,832106.0423456223,6501376.55646213,752583.3899453074,6051720.287096267,175703.13679556132,310356.6535363767,174053.97534028304,302975.92049699783,,,,
2003-06-06,834673.166667741,6532909.110377822,754798.5692270787,6089361.582799149,174762.96752055275,308234.9317088893,173368.80705516884,301084.8677188953,,,,
2003-06-09,825581.7880969677,6485239.218583511,747138.1086382497,6053027.386792864,173134.727242187,306502.35788364965,171802.654892261,299367.52568552893,,,,
2003-06-10,831519.2962243257,6525466.614528161,752491.8525884725,6092119.311856387,175011.98492867604,310130.9811950147,173563.43006748997,302819.83076325874,,,,
2003-06-11,838895.7207315321,6567813.949969358,759818.5610179721,6134302.658655142,176124.7293735411,311553.5942049031,174982.9001626223,304378.339150332,,,,
2003-06-12,839243.4012459553,6569600.239867154,760206.0252801578,6136789.41383833,176667.62709116552,313248.2082245249,175698.20758196912,306140.4262517033,,,,
2003-06-13,833281.1044100983,6506972.4446698055,752170.7844376616,6092157.177523945,174578.5631455493,308498.2480968925,173609.43273297776,301485.7752007623,,,,
2003-06-16,851036.1402960465,6611821.386917821,767466.4495897825,6186575.100785399,177428.55247981695,312782.84968624765,176426.80514788118,305616.40797439223,,,,
2003-06-17,852882.2001554061,6623941.650380054,768762.5776674171,6196754.744129129,177329.72029990473,313266.7540991959,176487.93470391497,306169.7304722183,,,,
2003-06-18,848021.2063135607,6609143.732366206,767697.1337805567,6192990.183821168,175954.54960955825,310657.107105958,175270.52368318356,303648.17594286025,,,,
2003-06-19,834876.2743182989,6532725.299887572,756469.2457653924,6139348.905343297,173889.43961433327,307406.96642518,173043.33238948305,300385.42924309167,,,,
2003-06-20,835040.778084989,6567612.849965617,757366.0403259234,6167772.037922641,174811.78265313542,309680.8829587284,174049.1015939776,302683.9592607343,,,,
2003-06-23,825802.8725875678,6516909.426469441,749622.2098532465,6132282.973997971,173267.1733161503,307040.90427252516,172318.97256856135,299986.28763514524,,,,
2003-06-24,828747.2203096156,6527219.636866266,751970.8240679305,6140933.799756889,174091.29453579523,309210.31359601597,172875.77115745915,301871.9807558303,,,,
2003-06-25,824679.0918583402,6466847.447615245,747574.220928924,6094157.6661039125,173237.25331921832,308985.1240987956,171896.1456955812,301556.3825678771,,,,
2003-06-26,831595.8607698276,6572437.250986513,754271.013266599,6168063.006714115,174758.2516144697,312527.1018687365,173320.86342263484,304920.700306845,,,,
2003-06-27,819395.1420946427,6537038.168760618,741998.566975563,6139519.663839692,173553.18507956673,311238.46374744124,172468.5144993562,304040.13473770564,,,,
2003-06-30,821448.6643628086,6549770.433407164,741783.0563480516,6154159.158239246,173525.9522308478,311210.8286141745,172415.60570528475,303926.6203317519,,,,
2003-07-01,825230.830046162,6578011.015549425,745246.8151001657,6175984.723660958,173933.3049162804,313058.1942251712,172543.8281442091,305529.78665275394,,,,
2003-07-02,832193.8537287263,6652677.900855128,751030.5401938675,6241675.768316906,175798.03963221287,316098.39117169165,173883.72100762848,308475.45879469306,,,,
2003-07-03,827655.6938607921,6622562.893003653,746473.576063012,6215662.876915103,174847.22729970296,315848.92514201393,173030.2725850763,308358.28905800043,,,,
2003-07-07,837711.8716978434,6717847.0694435425,755660.5888710391,6300373.982052123,178033.54272706818,320790.6228992159,176037.3159697231,313105.0134730485,,,,
2003-07-08,839655.6625346504,6751603.252358943,754898.689933707,6320410.261641401,181226.0484056951,325070.139119527,179172.52130689836,317296.3385839667,,,,
2003-07-09,830743.468471039,6762882.066849961,748551.5457958342,6326746.841002628,179569.43876513443,323951.6730053608,177585.08493035543,316225.81314871006,,,,
2003-07-10,827777.2822071649,6719815.119637345,749160.3268355262,6291032.758125756,176590.86044195684,320428.3801657311,174541.1613756073,312621.73422334855,,,,
2003-07-11,839660.7219340826,6776782.705449147,759088.3031742654,6340250.042901324,178039.17322362997,322859.4027877078,176055.36225865036,315041.4926267743,,,,
2003-07-14,843873.4914673652,6806165.278878906,761702.8379770676,6356400.07333371,179276.8192232736,325414.03067929955,177553.3621947533,317715.455548153,,,,
2003-07-15,840549.3692375761,6764721.209618076,758592.4141076392,6311971.729224332,179769.1085114449,327059.2732381708,178088.3548059905,319365.2992969154,,,,
2003-07-16,837454.0687326838,6752293.330088595,753744.5994132806,6297459.262530012,179751.5601783029,325467.0965672795,177850.3296502981,317648.2745880268,,,,
2003-07-17,831024.7670353185,6697403.1127135195,749279.6211802008,6253026.578777226,178069.7121544286,322294.20031433884,176460.02803120698,314779.543712241,,,,
2003-07-18,838427.9681451431,6780392.287330025,757400.3855523029,6340723.106803974,180187.25818611612,324726.5308867971,178754.1261877221,317316.83895433485,,,,
2003-07-21,824211.8417634286,6698610.5743318135,748478.0645682804,6303819.282198068,177619.41192642078,321293.7390982985,176498.99569075962,314019.4873477036,,,,
2003-07-22,828055.6158409008,6738757.553998507,753244.2410503138,6335976.273411292,178795.89623418354,323836.3247324039,177693.7780563912,316454.77243110695,,,,
2003-07-23,832333.7909739942,6744415.691189186,757161.2300388429,6348941.876910007,179993.96528950744,323895.4723292903,178966.49067550222,316564.2610910284,,,,
2003-07-24,826319.6562577767,6736465.267210687,753710.0889912711,6347499.770098001,179370.69374678785,325466.0374057479,178418.62124879519,318085.6080606621,,,,
2003-07-25,838822.7776137453,6815744.107300135,764338.1630960951,6417147.064914171,182141.77723290017,330689.23122014414,181278.85123833557,323204.29655506386,,,,
2003-07-28,835123.6369345837,6817881.967791277,761281.0509902434,6417614.543848654,183372.2672447309,332886.4811063736,182541.35591025086,325384.0916142741,,,,
2003-07-29,833582.4852034176,6828851.912192962,760518.0406194506,6422542.096004392,183103.42413598864,332988.9150449743,182181.0185082162,325472.6158532942,,,,
2003-07-30,831021.0058957699,6807374.907630641,758545.4417630418,6408898.948559628,183652.02738768555,335575.7610111045,182690.2476510552,327988.5992143221,,,,
2003-07-31,836511.1164877159,6832616.903965182,763911.4240861492,6432083.07612645,183267.7301814682,334717.688627249,182204.46650963658,326786.0138009239,,,,
2003-08-01,829567.7570924801,6809520.920773433,757785.0361987936,6412801.023294534,182405.707644122,333713.659208905,181310.51437285243,325843.6282685084,,,,
2003-08-04,832180.2723440664,6807461.1454712255,760392.7742246365,6416068.354540463,183159.6601809354,335075.0128794532,182241.74299064433,327299.85807120294,,,,
2003-08-05,819613.125209134,6713971.861257167,749305.5389472141,6337980.818453191,178883.60966587177,329389.50433971296,178130.58537249794,321917.2655843936,,,,
2003-08-06,825179.5221853901,6741568.117934967,751509.0119553091,6355596.607397679,178966.7529334223,331159.47101652273,178323.98610434457,323786.63041278085,,,,
2003-08-07,836868.1602622033,6830554.23511505,760818.6111468022,6426350.085385076,180011.02694040607,331189.7482439527,179501.00690605945,323910.3212826735,,,,
2003-08-08,846393.2672703317,6888756.523405095,767622.5422341342,6476828.348031834,181751.03415200202,334499.3186238882,180947.93605769417,326984.9942020754,,,,
2003-08-11,846739.8499952396,6905606.584338688,768726.4247021765,6498208.541546161,182701.29623161475,337305.63586532394,181940.32274700745,329743.53600052145,,,,
2003-08-12,854389.6506123132,6973322.827628527,775784.3406278087,6557382.165285759,185945.43019302655,341030.2750792137,185025.6847949773,333251.4781741887,,,,
2003-08-13,847755.0110020981,6950973.559143036,768697.6831612687,6533041.3326364085,185983.836497257,340776.8445789606,185023.56234360105,332986.74294386717,,,,
2003-08-14,853212.4490504744,6967699.046932616,773027.5630908606,6529675.784536867,186843.26425126474,341565.7265329998,185478.65329651587,333568.79463342775,,,,
2003-08-15,854432.1399552188,6968997.110063077,773416.5701777334,6536638.363246926,187533.8752119487,342511.64108718623,186202.2015185461,334558.78699555906,,,,
2003-08-18,857624.5234758987,6988676.184492459,775939.5970337729,6559252.688495746,189785.5518886491,346114.4585619472,188375.44237281417,338035.7195363834,,,,
2003-08-19,852040.1071746073,7002309.775500353,775870.1319700143,6574973.237258258,189961.30922654815,347430.4269977009,188666.6284647188,339374.3707704603,,,,
2003-08-20,850175.9208779994,6998268.149714467,773020.6640487127,6579193.719519651,190075.5293580401,348302.4237541839,188798.63540834398,340261.45003202156,,,,
2003-08-21,851141.2272603285,6956997.979280522,773374.9353269315,6548910.6066721855,191665.34214726262,349837.0072100393,190229.28940130695,341608.43727228575,,,,
2003-08-22,842373.0775134324,6880694.0547766285,764597.10091542,6481946.124994157,189716.1253988901,348102.99185825925,188430.91707864252,339982.3890950675,,,,
2003-08-25,843743.8779176538,6896538.508139975,766715.3473813257,6491909.457395841,190160.45385408477,348188.73244542663,188622.89985785313,339910.3804432821,,,,
2003-08-26,841728.7753213679,6870881.550125872,765399.3194847683,6476703.11291467,189567.8872616199,347227.0803567443,188087.1491412116,338980.69182543206,,,,
2003-08-27,841952.5325400732,6885586.697007317,764273.6934375621,6478675.731606538,190666.30886912762,350848.20760634803,189022.870620269,342340.2543973024,,,,
2003-08-28,840720.2387570523,6856067.036199171,763913.8425383287,6447354.256216666,193021.69902155112,353539.4127500482,191037.48017838495,344774.83426452836,,,,
2003-08-29,844824.3716710075,6892813.187095226,768156.6318347456,6478387.169724494,195165.46313402863,355081.10561648686,192826.47272537323,346216.5947311556,,,,
2003-09-02,853984.5187623735,6991876.363273799,775461.7297626433,6530808.728335522,196906.2610184256,357062.0561108335,194242.56719514413,347974.1015756844,,,,
2003-09-03,856243.5598235853,7016328.0804700935,776884.8256281143,6572131.253783157,196327.2317845434,355215.020389897,193789.06690521882,346305.32152556203,,,,
2003-09-04,860594.872613183,7062720.665543228,775949.2001814335,6590573.650131907,195009.92410203343,354440.05610054027,192396.31031264144,345471.32718156825,,,,
2003-09-05,853373.3935739369,7044795.0622030245,769955.4498728745,6565517.360457097,192084.1219194132,350090.1856105039,189501.78094179693,341133.3773957558,,,,
2003-09-08,857941.8331861367,7087349.474861561,774009.6756839363,6593333.027856039,192332.4647009539,351347.4094917791,189663.13154582065,342346.0551730824,,,,
2003-09-09,849445.4252737961,7079118.075136557,771263.1001752879,6586013.334297277,188338.0377073143,344588.12040415953,185711.4995096329,335728.9864315512,,,,
2003-09-10,844177.8331605983,7014385.228501914,767336.9142016915,6528257.674000737,187712.4611944098,343174.93580341357,185445.1186502211,334660.519658979,,,,
2003-09-11,849830.1224433443,7065752.455856898,773879.3353120146,6593699.925929294,189488.0467806317,346165.7467025632,187116.11195494558,337557.9929571613,,,,
2003-09-12,848139.3786586325,7033400.664476302,772128.3040709278,6559272.573079331,189913.36807586366,347887.6858346316,187383.64830389648,339117.9391485106,,,,
2003-09-15,851292.8590524454,7021002.460985497,772590.0478596943,6550022.177856262,190067.37152460904,345965.5058510912,187431.76843697752,337094.48547881364,,,,
2003-09-16,859429.5097226647,7102001.371184935,779933.5115239406,6636044.352297748,192457.0580806445,348832.2463312429,189730.55450132478,339922.43926695915,,,,
2003-09-17,854349.252663471,7087219.358381231,775572.7868892808,6617839.781374375,192011.35817496973,349091.4503309682,189192.39384385274,340045.13000025717,,,,
2003-09-18,862781.1757272048,7155995.36871208,783731.5141425242,6677618.605146319,194020.39435555946,353703.15892937535,191192.6554614252,344574.65870076447,,,,
2003-09-19,862040.6881099507,7150707.756782294,782583.8150224643,6675813.567866097,194851.90474259743,355390.65008450433,191452.63871551212,346228.5966731323,,,,
2003-09-22,852521.361032066,7068637.255593599,774641.9196697106,6611149.322233166,193327.68517375566,352927.06739154964,189991.09489712393,343891.3726311088,,,,
2003-09-23,856813.1192229106,7103403.012838018,779260.2542190814,6644784.956029262,196966.37926684422,357753.34864704864,193258.66573346494,348455.68774986244,,,,
2003-09-24,843622.72952365,7021079.637610686,767573.2374950446,6574907.065724966,194744.65525755225,352996.45585151314,190904.75826880932,343712.59199180524,,,,
2003-09-25,841603.7126547927,7024590.048206587,766607.6385414106,6579305.0012492025,192685.09006002327,349612.5789299426,188987.26004618153,340436.95945674117,,,,
2003-09-26,838657.1526450459,7008289.043742179,764828.6002375466,6578769.294040333,190905.0086570017,347024.41957289877,187359.72701824096,337884.6336692256,,,,
2003-09-29,841252.9856142241,7041317.6769134505,766427.767803476,6597306.07343903,190821.31496760927,347312.56940462295,187299.92899798785,338150.281271313,,,,
2003-09-30,833332.9219962996,6985486.663249065,758850.6223577519,6541970.607109,189203.53319294064,344264.5928219188,185652.88658527352,335101.6778037527,,,,
2003-10-01,849720.6079261717,7129519.140751687,772500.0790844514,6673839.701196056,193587.14588954105,352140.57784032467,190061.26204367602,342792.3070714391,,,,
2003-10-02,855818.958073085,7163800.471553839,777076.1620681736,6701808.000701758,194296.87100327833,353833.7054859909,190693.71392970582,344365.32717218605,,,,
2003-10-03,853015.8130898655,7201423.90882375,773802.8608174822,6745509.818698216,197107.29189490958,357077.4136069917,193276.1866212503,347507.1840641837,,,,
2003-10-06,852365.4514029297,7215786.919331402,771930.7251466465,6758409.133040945,198125.2429585771,361280.17009074904,194435.94762724446,351682.709759619,,,,
2003-10-07,860704.8737732989,7288393.055609703,778393.9734760377,6817430.808125899,199298.29321181518,362889.0213108597,195437.837238115,353106.59825542173,,,,
2003-10-08,856818.6984750533,7264200.425679082,775120.7202986995,6797587.09968154,197894.61250342577,359153.13709014014,193971.53694405715,349409.1992007388,,,,
2003-10-09,861961.9806689754,7292756.175316177,778842.826077097,6829466.591606858,200544.04742603606,363677.14218013204,196658.53960621753,353748.74796379876,,,,
2003-10-10,857590.7007748809,7283141.091178404,774962.3574709514,6825431.70261176,199118.93809588626,361975.0697904879,195300.6178191257,352095.3145820776,,,,
2003-10-13,863817.9490056101,7322676.005450101,779585.8297818793,6859845.422329684,201551.91941595852,367249.5016650134,197646.4941281326,357203.2027911529,,,,
2003-10-14,868730.6676690842,7359847.894415602,785410.7597524731,6897075.590511875,202461.61580589216,369010.9447952996,198756.1593082744,359088.9057045719,,,,
2003-10-15,871923.182641448,7369198.407704993,784645.4247031056,6878491.334693437,201771.13689422962,368129.9767643233,197890.63077137416,358083.5982971935,,,,
2003-10-16,870090.1506163055,7287797.738716103,784005.9512231005,6845297.600612682,202349.6436895603,369779.87104178156,198393.69442773444,359658.3130644759,,,,
2003-10-17,864861.5666354119,7249085.589851512,779273.0070177097,6827517.6801453,200383.45447207076,365688.81291607313,196704.2113536461,355794.1067330011,,,,
2003-10-20,866165.2246885718,7243679.289869468,782266.1139339152,6850069.499875739,201983.39820548176,369018.29891418735,198494.7727405523,359113.74948115123,,,,
2003-10-21,865648.8061853393,7232651.1877420675,781804.561279282,6849503.170587125,201693.8479152579,372915.2720864458,198393.42195828466,363019.77459771954,,,,
2003-10-22,850653.1476815651,7145058.566801252,768309.597525548,6793263.410778513,199075.99649140285,369491.4289461156,195844.4948448577,359602.20862625143,,,,
2003-10-23,856459.2094081035,7190198.78622766,774621.3907779604,6826828.8645467395,201628.63186696795,373785.99509843515,198430.19911671712,363848.486658316,,,,
2003-10-24,853348.3525984782,7174439.747845855,772342.1291585353,6819466.48837758,200796.11564428965,373615.19704536285,197584.24956330133,363716.028287669,,,,
2003-10-27,855801.8093630574,7203684.538605866,773310.9011718567,6841703.694814437,203646.76505277486,378556.416267248,200489.49281917326,368609.6650044737,,,,
2003-10-28,869499.3064727314,7284977.7697113175,783386.355370462,6919055.963806631,206788.03442409306,383364.21408017894,203295.70187662504,373023.9872932285,,,,
2003-10-29,869032.254294309,7301039.211763074,784119.44373014,6934238.470814375,207274.58084727713,383866.99715045496,203715.82069451764,373453.92345127155,,,,
2003-10-30,863805.4409416718,7283652.492192466,779924.9546704107,6926723.615715493,208305.07627884432,384295.4520856283,204706.8140722885,373871.0935252699,,,,
2003-10-31,867418.3251938091,7307153.155039267,783345.6755882303,6948070.059290603,206478.76753046556,381429.00161669473,202877.04309472293,370946.4627749684,,,,
2003-11-03,870138.7529110804,7348258.0288662305,785096.9962420315,6980283.040934578,208751.62094505585,383930.4833747343,205019.0990453225,373274.98776428367,,,,
2003-11-04,864964.8811694743,7345931.336086582,782177.6398983301,6991741.200362635,207739.2753961529,383467.20008136646,204123.89939258932,372829.20760523994,,,,
2003-11-05,862680.1400239443,7346743.752040772,780483.7817327695,6989727.9030754035,207731.92403414924,383251.09006675537,203880.5172729119,372584.1985357003,,,,
2003-11-06,865370.6061055209,7377407.622934476,782750.8796597025,7017979.132904263,209935.26387273782,381900.4951334961,206061.18644988418,371269.34519882203,,,,
2003-11-07,862649.7507719295,7360789.8086115895,778491.9147817851,6999767.72935068,208049.11986270652,376017.1099923814,203946.790698585,365298.460663847,,,,
2003-11-10,858654.3635155555,7332551.319537339,774738.2120811051,6979141.820880724,206539.6674326219,369594.0525112159,202701.22683782445,359152.2240287241,,,,
2003-11-11,861208.2853172831,7333517.839584729,776613.0448709246,6973920.180151729,207536.0935608746,374212.76348376554,203790.38088845531,363773.35582188214,,,,
2003-11-12,867887.7348616809,7403675.076142726,783703.6627418911,7041430.580517237,209544.07732364917,378915.19981403253,205677.85558251126,368326.6921429983,,,,
2003-11-13,871003.1239646124,7402823.328249982,789059.9191949301,7052171.996528395,208682.27465412696,376276.9336255646,204876.35146737442,365847.0504358826,,,,
2003-11-14,865316.1202537232,7364549.83446991,784646.2139550749,7011421.521120127,206653.36400019313,372066.41095728637,203374.5162635879,362034.56403957895,,,,
2003-11-17,858867.2285385488,7312677.219327935,780118.226155781,6968294.44622259,205697.63931255718,369723.6240877838,202444.81264079062,359791.6385452231,,,,
2003-11-18,852752.2497662688,7281206.9874379,775021.9786420526,6926804.946641719,203767.12754279253,366766.86751591036,200717.0190635281,357017.39055672457,,,,
2003-11-19,859497.1607147089,7318544.331140008,780134.3427677624,6957347.046693233,203833.65031623462,366957.43939776527,201045.52956697711,357413.14002754836,,,,
2003-11-20,853330.6143254231,7297114.956245317,774916.3907914168,6940588.501828982,203774.4783415909,367090.597448576,200735.2932199124,357384.49092974263,,,,
2003-11-21,852085.0977109779,7286777.12369515,772921.1670787737,6948764.148810401,205470.3446460615,371025.8119908919,202313.76335987123,361193.1319148163,,,,
