Date,1990_base,1990_cc_h0,1990_cc_h5,1990_cc_all_h5,1995_base,1995_cc_h0,1995_cc_h5,1995_cc_all_h5,2000_base,2000_cc_h0,2000_cc_h5,2000_cc_all_h5,2005_base,2005_cc_h0,2005_cc_h5,2005_cc_all_h5,2010_base,2010_cc_h0,2010_cc_h5,2010_cc_all_h5,2015_base,2015_cc_h0,2015_cc_h5,2015_cc_all_h5,2020_base,2020_cc_h0,2020_cc_h5,2020_cc_all_h5
2013-11-15,23609361.960108776,114585622.48213355,79457594.87265871,252758344.80076256,8698777.504984844,14977344.735106518,12207776.749598116,33108898.4217587,9071328.411150746,22418827.102120094,17215499.02174299,28166390.107072927,2692296.256932133,4241516.363086852,3602475.54975758,4549992.595755166,2045023.3372162892,2129837.365840824,2043589.6581937296,2136024.8860615045,,,,,,,,
2013-11-22,23754027.780956868,115570873.9617309,80146803.49804647,254740981.5443779,8752485.013106076,14983150.038155675,12207841.135266278,32822961.741220515,8935736.554613678,21897044.095018934,16852064.51895669,27630671.545667104,2668298.21227028,4242540.286458338,3600018.5614218805,4558618.720964084,2050110.7076390584,2137820.773819153,2050431.3272479894,2144029.66354795,,,,,,,,
2013-11-29,23768047.3407202,116169426.19117758,80535912.60755533,255670819.14215913,8777092.735605065,15017468.029743979,12238913.93243043,32841412.555750344,8891278.886202632,21695889.117069557,16711658.990918975,27362568.028364334,2670598.640206054,4253752.398091893,3609643.8334805868,4569015.362081791,2063231.377099364,2155343.3467412395,2066481.4958410622,2157364.808820846,,,,,,,,
2013-12-06,23877102.068051,116425353.14332806,80697232.17115557,256535099.02177334,8873731.68521132,15186544.184877869,12368439.485747281,33425740.579139546,8848050.012137929,21631626.634297185,16643891.954979144,27270371.96132057,2660658.739177516,4249914.171240624,3599250.8541600243,4565102.129376404,2060529.092988004,2159762.6639190186,2069897.0757016472,2162029.830564464,,,,,,,,
2013-12-13,23469669.705517344,115343285.94321269,79898410.61458412,255726084.58274707,8635067.918477362,14861588.812482648,12093773.201038312,33076744.633140117,8789298.6460544,21664274.59483497,16647636.037374312,27360409.004347626,2609819.287660836,4176208.1614907356,3537275.9555504643,4489279.267534754,2020151.0512717231,2124700.7846091287,2035619.2297120278,2136640.836040978,,,,,,,,
2013-12-20,23959074.354913432,118410023.24047574,82025195.48531249,259879017.78914732,8871796.567277122,15237579.057050452,12399688.126813341,33803422.91087614,8954220.279546114,21875001.400080588,16813359.482249606,27623618.18420363,2675432.2416779352,4272439.013701059,3617190.8990203124,4595405.198971089,2065006.303093729,2169600.9407260474,2078008.7116254568,2173372.436475753,,,,,,,,
2013-12-27,24314290.41258436,120658051.89436065,83556442.85635348,263937414.67440346,9019103.020855932,15479221.745092606,12600527.489834117,34314202.4671501,9022976.22215629,22141576.180257127,17003878.729356613,27960681.793377146,2697096.0739095355,4315428.858151957,3653026.885245194,4642331.343164817,2080728.4841774928,2187552.618413936,2095200.6180076366,2196613.322177473,,,,,,,,
2014-01-03,24173632.735483177,120086229.06290013,83174923.81854975,263342869.93040013,8940779.791349845,15352970.643336691,12500312.473067667,34112215.29508079,8982024.789846445,22104325.944599204,16976791.92995467,27972339.42114426,2685213.3043500497,4310590.21882656,3649849.3221321963,4644879.298826586,2064672.7477195363,2173818.991519065,2082268.9117481927,2189563.275696092,,,,,,,,
2014-01-10,23961264.428005505,118320050.70869198,81867311.04198098,261763537.2233443,8907214.3782867,15343480.13613212,12481411.126866214,34239826.868596315,9054326.166030334,22149819.28807043,17014320.686511256,28094475.93163552,2693467.393075821,4338734.479115569,3666893.087738062,4675458.7767732795,2068530.799955612,2183476.038911028,2089978.7989153785,2201047.709227907,,,,,,,,
2014-01-17,24106724.793122973,120071084.91022693,83053270.70252746,265829827.10545653,8918734.459308825,15389070.041011587,12521396.949435083,34520866.54883746,8995270.073915705,21863623.998936456,16791983.18130876,27725825.580389213,2662073.04567918,4310699.018282792,3642144.530951459,4644044.669543495,2057745.1919371143,2181524.3442742242,2087004.7932889157,2203251.220778894,,,,,,,,
