Date,2000_defensive,spy_2000_defensive,2000_growth,spy_2000_growth,2005,spy_2005,2010,spy_2010,2015,spy_2015,2020,spy_2020
2000-07-14,1102304.7857925484,1098827.38111285,1123715.3350888737,1098827.38111285,,,,,,,,
2000-07-17,1102304.7857925484,1098827.38111285,1123715.3350888737,1098827.38111285,,,,,,,,
2000-07-21,1096964.6555466105,1060527.4287989684,1122310.6393120342,1060527.4287989684,,,,,,,,
2000-07-24,1096964.6555466105,1060527.4287989684,1122310.6393120342,1060527.4287989684,,,,,,,,
2000-07-28,1120599.270977385,1062123.3890466886,1109753.70373468,1062123.3890466886,,,,,,,,
2000-07-31,1120599.270977385,1062123.3890466886,1109753.70373468,1062123.3890466886,,,,,,,,
2000-08-04,1105181.1822987555,1070330.7931673173,1129748.9552476716,1070330.7931673173,,,,,,,,
2000-08-07,1105181.1822987555,1070330.7931673173,1129748.9552476716,1070330.7931673173,,,,,,,,
2000-08-11,1107404.9014457227,1095634.9302805967,1128517.127723773,1095634.9302805967,,,,,,,,
2000-08-14,1107404.9014457227,1095634.9302805967,1128517.127723773,1095634.9302805967,,,,,,,,
2000-08-18,1107324.3471757686,1103842.2460117568,1130663.997302684,1103842.2460117568,,,,,,,,
2000-08-21,1107324.3471757686,1103842.2460117568,1130663.997302684,1103842.2460117568,,,,,,,,
2000-08-25,1111849.660643827,1111365.162086398,1112133.8751565164,1111365.162086398,,,,,,,,
2000-08-28,1111849.660643827,1111365.162086398,1112133.8751565164,1111365.162086398,,,,,,,,
2000-09-01,1114986.181618863,1100422.1922974766,1130947.718751511,1100422.1922974766,,,,,,,,
2000-09-04,1114986.181618863,1100422.1922974766,1130947.718751511,1100422.1922974766,,,,,,,,
2000-09-08,1104135.3360158205,1091645.5599981085,1151216.8794616924,1091645.5599981085,,,,,,,,
2000-09-11,1104135.3360158205,1091645.5599981085,1151216.8794616924,1091645.5599981085,,,,,,,,
2000-09-15,1107427.7457083736,1043536.939947753,1139920.7354795593,1043536.939947753,,,,,,,,
2000-09-18,1107427.7457083736,1043536.939947753,1139920.7354795593,1043536.939947753,,,,,,,,
2000-09-22,1153513.1537465327,1060449.3808980635,1154197.1539989188,1060449.3808980635,,,,,,,,
2000-09-25,1153513.1537465327,1060449.3808980635,1154197.1539989188,1060449.3808980635,,,,,,,,
2000-09-29,1175955.332629189,1054507.133693049,1168050.602481145,1054507.133693049,,,,,,,,
2000-10-02,1175955.332629189,1054507.133693049,1168050.602481145,1054507.133693049,,,,,,,,
2000-10-06,1187590.4717208676,973602.3083793658,1114566.9949740635,973602.3083793658,,,,,,,,
2000-10-09,1187590.4717208676,973602.3083793658,1114566.9949740635,973602.3083793658,,,,,,,,
2000-10-13,1189024.2637120655,1018854.2691892433,1165711.1755654716,1018854.2691892433,,,,,,,,
2000-10-16,1189024.2637120655,1018854.2691892433,1165711.1755654716,1018854.2691892433,,,,,,,,
2000-10-20,1222409.87503948,999656.4301349752,1162624.0612661573,999656.4301349752,,,,,,,,
2000-10-23,1222409.87503948,999656.4301349752,1162624.0612661573,999656.4301349752,,,,,,,,
2000-10-27,1245878.947552769,1043651.4926992508,1278793.5470032326,1043651.4926992508,,,,,,,,
2000-10-30,1245878.947552769,1043651.4926992508,1278793.5470032326,1043651.4926992508,,,,,,,,
2000-11-03,1272928.0663501231,1024110.7908957079,1283085.764506131,1024110.7908957079,,,,,,,,
2000-11-06,1272928.0663501231,1024110.7908957079,1283085.764506131,1024110.7908957079,,,,,,,,
2000-11-10,1277589.2420362877,1004684.0231173817,1281990.5825712346,1004684.0231173817,,,,,,,,
2000-11-13,1277589.2420362877,1004684.0231173817,1281990.5825712346,1004684.0231173817,,,,,,,,
2000-11-17,1293129.014203273,966403.074539281,1292548.3982448694,966403.074539281,,,,,,,,
2000-11-20,1293129.014203273,966403.074539281,1292548.3982448694,966403.074539281,,,,,,,,
2000-11-24,1312344.2271241562,967431.7511765743,1293661.8226355214,967431.7511765743,,,,,,,,
2000-11-27,1312344.2271241562,967431.7511765743,1293661.8226355214,967431.7511765743,,,,,,,,
2000-12-01,1276304.5145048944,977487.2906992623,1320100.6473681359,977487.2906992623,,,,,,,,
2000-12-04,1276304.5145048944,977487.2906992623,1320100.6473681359,977487.2906992623,,,,,,,,
2000-12-08,1258753.805524909,982972.7411297854,1313399.0418814963,982972.7411297854,,,,,,,,
2000-12-11,1258753.805524909,982972.7411297854,1313399.0418814963,982972.7411297854,,,,,,,,
2000-12-15,1278263.3990765517,932573.0660494724,1295734.515460631,932573.0660494724,,,,,,,,
2000-12-18,1278263.3990765517,932573.0660494724,1295734.515460631,932573.0660494724,,,,,,,,
2000-12-22,1327018.5521675604,980944.026043073,1378716.7199194492,980944.026043073,,,,,,,,
2000-12-25,1327018.5521675604,980944.026043073,1378716.7199194492,980944.026043073,,,,,,,,
2000-12-29,1217382.1453072047,979683.5038292528,1345668.4448580644,979683.5038292528,,,,,,,,
2001-01-01,1217382.1453072047,979683.5038292528,1345668.4448580644,979683.5038292528,,,,,,,,
2001-01-05,1228774.3905980599,970169.4381921173,1361517.2919639563,970169.4381921173,,,,,,,,
2001-01-08,1228774.3905980599,970169.4381921173,1361517.2919639563,970169.4381921173,,,,,,,,
2001-01-12,1225601.4252817756,988739.0049025218,1364842.6253543852,988739.0049025218,,,,,,,,
2001-01-15,1225601.4252817756,988739.0049025218,1364842.6253543852,988739.0049025218,,,,,,,,
2001-01-19,1250373.900045992,997908.2632220702,1376179.2577360028,997908.2632220702,,,,,,,,
2001-01-22,1250373.900045992,997908.2632220702,1376179.2577360028,997908.2632220702,,,,,,,,
2001-01-26,1259126.57349219,1011837.2060442487,1420345.882047569,1011837.2060442487,,,,,,,,
2001-01-29,1259126.57349219,1011837.2060442487,1420345.882047569,1011837.2060442487,,,,,,,,
2001-02-02,1299173.1030247996,976552.2185093735,1384797.799594331,976552.2185093735,,,,,,,,
2001-02-05,1299173.1030247996,976552.2185093735,1384797.799594331,976552.2185093735,,,,,,,,
2001-02-09,1284432.1253390699,978165.8566508434,1392962.7418272689,978165.8566508434,,,,,,,,
2001-02-12,1284432.1253390699,978165.8566508434,1392962.7418272689,978165.8566508434,,,,,,,,
2001-02-16,1291128.1994825497,922926.858156558,1366850.5672802713,922926.858156558,,,,,,,,
2001-02-19,1291128.1994825497,922926.858156558,1366850.5672802713,922926.858156558,,,,,,,,
2001-02-23,1290398.2206376824,914050.080589098,1357139.0674136137,914050.080589098,,,,,,,,
2001-02-26,1290398.2206376824,914050.080589098,1357139.0674136137,914050.080589098,,,,,,,,
2001-03-02,1308039.6873839772,932536.8263672857,1414224.8794942407,932536.8263672857,,,,,,,,
2001-03-05,1308039.6873839772,932536.8263672857,1414224.8794942407,932536.8263672857,,,,,,,,
2001-03-09,1250829.0170646978,863285.7989501983,1310226.0144541326,863285.7989501983,,,,,,,,
2001-03-12,1250829.0170646978,863285.7989501983,1310226.0144541326,863285.7989501983,,,,,,,,
2001-03-16,1196818.3227839384,817357.7470938647,1260467.349159035,817357.7470938647,,,,,,,,
2001-03-19,1196818.3227839384,817357.7470938647,1260467.349159035,817357.7470938647,,,,,,,,
2001-03-23,1229634.2586521013,849427.8328714246,1298919.5081495335,849427.8328714246,,,,,,,,
2001-03-26,1229634.2586521013,849427.8328714246,1298919.5081495335,849427.8328714246,,,,,,,,
2001-03-30,1241652.3598793212,846265.080900671,1325530.7404285534,846265.080900671,,,,,,,,
2001-04-02,1241652.3598793212,846265.080900671,1325530.7404285534,846265.080900671,,,,,,,,
2001-04-06,1228744.1519079993,874216.74777137,1302702.6633832296,874216.74777137,,,,,,,,
2001-04-09,1228744.1519079993,874216.74777137,1302702.6633832296,874216.74777137,,,,,,,,
2001-04-13,1233678.7359366047,924234.58034669,1375360.1128826842,924234.58034669,,,,,,,,
2001-04-16,1233678.7359366047,924234.58034669,1375360.1128826842,924234.58034669,,,,,,,,
2001-04-20,1238758.3754159217,910038.170992079,1390638.7625151232,910038.170992079,,,,,,,,
2001-04-23,1238758.3754159217,910038.170992079,1390638.7625151232,910038.170992079,,,,,,,,
2001-04-27,1241624.1364867091,920998.0231695314,1392063.4944626363,920998.0231695314,,,,,,,,
2001-04-30,1241624.1364867091,920998.0231695314,1392063.4944626363,920998.0231695314,,,,,,,,
2001-05-04,1248698.2867724313,926955.8269210457,1413266.232481605,926955.8269210457,,,,,,,,
2001-05-07,1248698.2867724313,926955.8269210457,1413266.232481605,926955.8269210457,,,,,,,,
2001-05-11,1275097.2814111877,949979.2505722113,1472802.1654828638,949979.2505722113,,,,,,,,
2001-05-14,1275097.2814111877,949979.2505722113,1472802.1654828638,949979.2505722113,,,,,,,,
2001-05-18,1270968.8860551305,953510.3214592395,1485309.3819173805,953510.3214592395,,,,,,,,
2001-05-21,1270968.8860551305,953510.3214592395,1485309.3819173805,953510.3214592395,,,,,,,,
2001-05-25,1284350.7612183602,926441.5769918677,1478026.066609459,926441.5769918677,,,,,,,,
2001-05-28,1284350.7612183602,926441.5769918677,1478026.066609459,926441.5769918677,,,,,,,,
2001-06-01,1295614.8995452935,942917.8159139052,1501983.727863053,942917.8159139052,,,,,,,,
2001-06-04,1295614.8995452935,942917.8159139052,1501983.727863053,942917.8159139052,,,,,,,,
2001-06-08,1281371.8051399777,897386.6327722517,1476997.835575827,897386.6327722517,,,,,,,,
2001-06-11,1281371.8051399777,897386.6327722517,1476997.835575827,897386.6327722517,,,,,,,,
2001-06-15,1303542.9654368951,913364.1783116108,1514712.1589464487,913364.1783116108,,,,,,,,
2001-06-18,1303542.9654368951,913364.1783116108,1514712.1589464487,913364.1783116108,,,,,,,,
2001-06-22,1299805.1893880004,901045.51483109,1461006.03735264,901045.51483109,,,,,,,,
2001-06-25,1299805.1893880004,901045.51483109,1461006.03735264,901045.51483109,,,,,,,,
2001-06-29,1300007.803935599,897578.4379194357,1456608.3157527577,897578.4379194357,,,,,,,,
2001-07-02,1300007.803935599,897578.4379194357,1456608.3157527577,897578.4379194357,,,,,,,,
2001-07-06,1309925.4991896646,893964.1925423155,1496972.0294053091,893964.1925423155,,,,,,,,
2001-07-09,1309925.4991896646,893964.1925423155,1496972.0294053091,893964.1925423155,,,,,,,,
2001-07-13,1336232.5161484517,900455.6919061322,1540461.4930343668,900455.6919061322,,,,,,,,
2001-07-16,1336232.5161484517,900455.6919061322,1540461.4930343668,900455.6919061322,,,,,,,,
