Date,1990_none,1990_cc_always,1990_wheel,1995_none,1995_cc_always,1995_wheel,2000_none,2000_cc_always,2000_wheel,2005_none,2005_cc_always,2005_wheel,2010_none,2010_cc_always,2010_wheel,2015_none,2015_cc_always,2015_wheel,2020_none,2020_cc_always,2020_wheel
2017-01-04,33071813.311005723,1111289622.9301932,706768249.5787646,13553455.994334895,247704568.3205417,147461002.46887985,14543239.122822413,74872947.36717272,58032359.13491952,4283327.529714499,12760055.889688244,11343128.515475182,3204009.2705719094,4392563.213034938,3172448.962693547,1112637.3682741816,1237755.323126916,1189394.29459242,,,
2017-01-05,32911879.289154865,1108233066.2882419,704813985.8731835,13523172.747324666,247490872.259161,147337045.45893863,14492437.626470784,74442087.59385638,57700092.95781309,4266595.89253591,12745504.07738515,11330776.865004225,3199113.299383089,4396940.951374213,3176441.079254618,1109330.7405961715,1236664.3869691992,1188064.2090900415,,,
2017-01-06,33159382.815166324,1113902950.5391493,708413626.8464222,13567655.629418721,248241447.4585771,147771426.723855,14493767.990152277,74343951.7430482,57630778.15962727,4266107.139568206,12754952.385567898,11339379.799864115,3213706.209763049,4410746.394257083,3187636.628701669,1111996.7670510325,1239813.7365352877,1190369.3876828018,,,
2017-01-09,33107503.7191574,1112980364.9674242,707824071.5084541,13568948.158336706,248592506.41194147,147982701.14293385,14470718.994083215,74360494.56183329,57640429.33177598,4272889.77661581,12781195.839871792,11362768.220307287,3215118.30779412,4421341.911817137,3195961.2349651805,1110715.98850366,1240435.8152695734,1190659.9597023358,,,
2017-01-10,33196497.094309285,1115816819.1702623,709627583.1980057,13554289.20975512,248436429.7336581,147896854.3731657,14553285.276950615,74751529.05846646,57933181.40036703,4299664.2133182585,12811569.971067242,11388976.536594857,3228901.874640613,4430405.149060362,3202241.694759729,1112756.1829242888,1242380.744359636,1192174.0573511333,,,
2017-01-11,33291852.863787316,1123406311.2336462,714498118.3556749,13614307.06386712,250306148.2026432,148991055.05388427,14528178.641691465,74622153.73424393,57830463.473269105,4304441.760513568,12835458.417743457,11410913.774172332,3242930.4326340826,4444733.013265961,3213392.7872658907,1115840.318815982,1246320.7784964666,1195557.7768189341,,,
2017-01-12,33185544.77698615,1120187191.1857722,712446332.3675318,13584810.896152318,249878261.93966347,148738912.71539572,14512483.761829512,74579759.48616123,57797507.942683585,4299552.384750026,12850453.41811918,11424540.445144702,3241565.3032806455,4443335.783112445,3212006.61993244,1114913.8022888817,1245538.126802466,1194751.4750194761,,,
2017-01-13,33223298.226027116,1121379324.5549657,713199952.9468381,13584971.26733689,250227762.60169396,148950077.2955963,14484301.384262733,74535584.35511506,57761129.52207993,4305020.802548327,12875003.295608912,11446297.1137548,3243658.287786351,4447076.294846323,3214292.078101844,1118035.1536989342,1249085.5392622673,1197733.3966679093,,,
2017-01-17,33370870.600096613,1123372683.0374832,714447223.7355067,13610387.580129724,251054039.35938108,149422352.0696779,14563982.961195966,75284181.91694053,58340340.06652252,4299787.933205199,12865938.038530163,11437076.568281263,3241848.4964337153,4452853.694505311,3216841.795065129,1116785.5945693506,1250674.700343025,1198685.7137097463,,,
2017-01-18,33465151.826163433,1128501129.79039,717733046.4398801,13573907.298581295,250795086.7062664,149232006.91724762,14533412.355141029,74515454.97659811,57744106.164858736,4291074.433900163,12790231.288147682,11369627.325214308,3241254.4571087994,4448206.040072246,3215370.622679563,1119126.2692301648,1249812.8802705035,1197798.0532783966,,,
2017-01-19,33301762.271593187,1127226562.493369,716934310.6037831,13525620.791903762,250091771.6660562,148834320.385996,14363470.744328415,73945839.23581626,57307600.50476405,4259206.849871163,12776474.302715693,11359682.035925781,3227892.2727984595,4433479.653356991,3205215.6867080694,1112570.2588926712,1245062.4913123383,1193746.1244936024,,,
