Date,1990_none,1990_ideal_d30,1995_none,1995_ideal_d30,2000_none,2000_ideal_d30,2005_none,2005_ideal_d30,2010_none,2010_ideal_d30,2015_none,2015_ideal_d30,2020_none,2020_ideal_d30
2020-12-25,65351740.231353916,377403053.3846496,27783635.182081908,61520498.26337651,26037170.310604345,81622402.386765,8795696.963797957,22393898.09764055,7798217.367720365,9637137.400795357,2748044.7037335373,3255832.9989552563,1310292.5581454956,1363170.667302635
2021-01-01,65966785.92862551,384805921.3710961,28219836.967187997,62880375.21975824,26211791.398570586,81899244.57091673,8937013.500064135,22663029.789782617,7901585.151663658,9756780.91677468,2787210.267091223,3299156.592965603,1328391.3622757657,1380503.5753440158
2021-01-08,66553311.84946806,386682689.358585,28529035.07954379,63922662.327476196,27114105.78690846,84957020.52160655,9136928.13360576,23219196.66516884,8055980.144799384,9977486.744106216,2871130.4197923033,3391165.7483994737,1371288.357051164,1429437.9626155654
2021-01-15,65395753.27114675,381248256.66189575,28193786.257443048,63985254.17544938,26565548.92168513,84187064.07631637,8992816.152418444,23082774.29302972,7840402.177699424,9761181.136448156,2814766.3237924585,3349816.719491169,1383230.657744635,1444406.0908545959
2021-01-22,65966795.51210196,386094177.71744436,28354188.945308696,64065531.853136316,26257303.83363824,84425287.19245064,9013107.41708772,23280578.138905793,8002789.2804970015,10047463.121932365,2833970.452468551,3398105.2740780935,1378289.1433666758,1444632.4994302017
2021-01-29,63712060.924919896,372798067.9525876,27588165.817938086,62192369.15875054,25009808.72499992,80296476.78522137,8757484.344504261,22500283.539672874,7771305.762109574,9724925.828266475,2707349.687272874,3257427.4886828098,1297532.609677455,1364209.0969997395
2021-02-05,67062544.56527955,395458786.09917426,28485452.326256275,63901758.26120725,26366381.314979985,84694842.43668625,8948158.262254369,22913738.675788127,8061899.830784282,10164490.890717808,2765153.2973448895,3329967.6440582178,1349361.8960403858,1419720.2736581166
2021-02-12,67273604.31206101,400269028.5222351,28836481.819959667,65296839.38000813,26111376.804796603,84446055.996011,9051675.686051248,23231231.886581663,8120900.186470049,10251019.743775183,2855217.8961871653,3429060.7304173363,1415068.290735872,1485945.2985485177
2021-02-19,66839007.43912703,398332528.06728274,28665503.267210588,65147568.66552465,26297812.620949123,84927205.46243061,8938561.705446541,23076756.052213524,7972233.864926268,10084171.563835107,2812672.219951581,3383537.506059889,1429325.9282015509,1505205.7249270338
2021-02-26,65735801.655924864,398809316.452175,28330060.20586028,64431766.19967307,25538512.54542115,81599492.3991517,8704288.440387422,22709650.737021457,7731266.524796809,9779472.662648568,2720249.154495497,3260642.5833061896,1390481.3522103184,1470158.2336821095
2021-03-05,66859230.40526515,410703375.5401931,28917040.18328156,65859474.60483031,25694720.914013367,82963683.63780993,8675910.861925382,23020089.762336712,7745578.551460401,9868143.447715634,2688132.023655066,3223159.9823117144,1388259.8081723459,1473646.6833705427
2021-03-12,68856178.31478772,420730027.8185043,29663526.523660786,67737413.9435776,26879516.488959968,86701842.86447193,9006328.006767113,23784703.797931705,7878536.912637461,10002936.443352593,2755833.3843608266,3303873.020913967,1405783.7454822792,1493823.2534533036
2021-03-19,68606266.46624643,414522275.26867145,29772443.84362518,68498069.57366796,27041574.21992967,87649255.16311498,9061459.560720254,23956560.39767496,7859154.308145598,9984197.261680927,2708802.759203944,3265593.7163225533,1405787.0885605034,1494247.246465504
2021-03-26,69499386.51201662,419482275.06675035,30386816.97012971,69988264.20903933,27955707.34378128,90321956.8120577,9297064.02590378,24430362.365773667,7992494.050734058,10152310.113018073,2818909.880974761,3381830.56613463,1466320.3523750978,1550497.8320582095
2021-04-02,69436930.92892186,420738770.58985573,30348918.186514586,69722862.71225724,27863766.389300812,90616039.1300266,9264342.694703477,24479706.358852908,8044346.360113843,10268809.378200667,2865486.5850895066,3446138.211938776,1512746.3150431658,1601495.8055024978
2021-04-09,70634422.05042341,425686929.781023,31291816.201199878,71881736.12392206,28612706.276815414,92208698.0092602,9606762.17457921,25139195.60870689,8382672.58926696,10664731.828655304,2949894.870275632,3541294.788617112,1539249.1181612455,1625604.047407644
2021-04-16,71323398.56733811,428741479.12728184,31638978.316222146,72290926.38508558,29254747.63480106,93793509.25621162,9812985.85025339,25637382.168364637,8500651.134526243,10795604.225942975,2971961.738484851,3560392.40120765,1546775.6871665465,1634608.9405638892
2021-04-23,71002971.29066257,425676867.37004125,31362501.421354137,71472694.77399258,29222592.08547562,93367937.70932034,9817606.27658923,25328647.06348716,8561437.730705177,10874652.070009755,2992433.214966557,3568919.9563567666,1563156.9464560754,1644199.6431499475
2021-04-30,71475487.63629977,429287749.15113586,31270440.61994374,71068512.16444133,29321946.2173944,93380599.56095034,9833597.633048587,25493421.41620214,8526309.09293163,10892573.420042071,2958606.4729750957,3553323.4346709717,1542238.5062598137,1626670.868055557
2021-05-07,73322490.02347507,437619718.97545177,32169476.2662858,72985488.83177586,29917523.08955367,95461753.3529578,10081086.1570758,26237413.44238754,8619415.265145587,11023919.90347128,2941156.828424875,3554711.801456595,1563595.8976445799,1651959.6974371355
2021-05-14,72106308.74023472,432868526.5071146,31505462.700062133,71515508.39234078,29506743.798731014,93624410.53038378,9870358.77558335,25856143.02336214,8469422.47921972,10861075.696266467,2856548.2803595415,3474563.640025504,1531390.1678844502,1632173.5246308453
