Date,Growth
2007-06-29,3147661.19823312
2007-07-06,3171966.275027707
2007-07-13,3170824.7383559262
2007-07-20,3026832.342156202
2007-07-27,3054671.850849209
2007-08-03,3037203.240565269
2007-08-10,2907654.1107912334
2007-08-17,3015706.6619384945
2007-08-24,3044564.214425653
2007-08-31,3049725.6431773924
2007-09-07,3023912.117735692
2007-09-14,3079575.2117900806
2007-09-21,3060022.613706097
2007-09-28,3080967.4610849298
2007-10-05,3140707.319926765
2007-10-12,3094326.9839938264
2007-10-19,3062443.1261233226
2007-10-26,3029786.6400592364
2007-11-02,3002776.0055466904
2007-11-09,2999136.032043852
2007-11-16,2917748.715066044
2007-11-23,3013796.9847880686
2007-11-30,3130325.43547591
2007-12-07,3030559.822786058
2007-12-14,2998667.6757486425
2007-12-21,2998194.959576425
2007-12-28,2885730.0792024266
2008-01-04,2816494.945334355
2008-01-11,2728438.796023294
2008-01-18,2846319.613526299
2008-01-25,2936008.752913829
2008-02-01,2897923.282325731
2008-02-08,2872308.871847397
2008-02-15,2840332.7901236983
2008-02-22,2915667.7410994535
2008-02-29,2810961.8314761124
2008-03-07,2810907.970290166
2008-03-14,2934756.4367754757
2008-03-21,2906402.3496499117
2008-03-28,2990967.1929683187
2008-04-04,2949765.273422664
2008-04-11,2954819.530715505
2008-04-18,2976759.5490361727
2008-04-25,3071669.493934444
2008-05-02,2981628.209549888
2008-05-09,3089114.0539730173
2008-05-16,3015543.2234817953
2008-05-23,3067085.994985224
2008-05-30,3109826.6406389726
2008-06-06,2987755.007562788
2008-06-13,3035171.5139103304
2008-06-20,2860419.0185340713
2008-06-27,2821185.9506947044
2008-07-04,2832947.6388291134
2008-07-11,2966730.324218767
2008-07-18,2926530.249137746
2008-07-25,2935489.9361533127
2008-08-01,3039380.1829566825
2008-08-08,3153907.271344103
2008-08-15,3122952.5881942324
2008-08-22,3187473.750756621
2008-08-29,3121893.940276709
2008-09-05,3168488.228322821
2008-09-12,3074491.827312422
2008-09-19,2999836.8254275518
2008-09-26,2833075.658786835
2008-10-03,2399542.803021449
2008-10-10,2492880.550421544
2008-10-17,2387729.6382733206
2008-10-24,2604899.7364115342
2008-10-31,2482043.3401349843
2008-11-07,2447327.0106935925
2008-11-14,2090961.0511016701
2008-11-21,2409925.7319659977
2008-11-28,2355510.7898334344
2008-12-05,2399039.7039356227
2008-12-12,2535892.095864082
2008-12-19,2453385.429439613
2008-12-26,2547502.254539929
2009-01-02,2555212.955196723
2009-01-09,2461849.668938511
2009-01-16,2455158.27562445
2009-01-23,2488127.7212554533
2009-01-30,2506018.0236166976
2009-02-06,2486415.017628828
2009-02-13,2453576.3928039614
2009-02-20,2373685.6827039234
2009-02-27,2336638.152197078
2009-03-06,2520903.8552355384
2009-03-13,2588068.751469097
2009-03-20,2712906.6491216244
2009-03-27,2714097.2952304073
2009-04-03,2811654.6986633725
2009-04-10,2827474.081969302
2009-04-17,2843650.7607618547
2009-04-24,2879229.110778917
2009-05-01,2856329.668989155
2009-05-08,2745880.1257394045
2009-05-15,2777860.2732502944
2009-05-22,2790395.1693995357
2009-05-29,2910468.2380397078
2009-06-05,2866113.6435532626
2009-06-12,2875733.3838811545
2009-06-19,2880022.2995640696
2009-06-26,2796560.4105919963
2009-07-03,2878281.5597089166
2009-07-10,3022605.2538685906
2009-07-17,3078600.4232086423
2009-07-24,3133064.5271381424
2009-07-31,3060268.0472029094
2009-08-07,3093546.283650169
2009-08-14,3118303.2171789114
2009-08-21,3166149.6105531165
2009-08-28,3118124.685495638
2009-09-04,3174832.798381681
2009-09-11,3202716.8380822935
2009-09-18,3154538.2423518947
2009-09-25,3143809.5678035556
2009-10-02,3183796.61955227
2009-10-09,3237632.7645599553
2009-10-16,3246086.5299739228
2009-10-23,3179029.360428777
2009-10-30,3195785.25640282
2009-11-06,3260430.7560756165
2009-11-13,3258788.6766112633
2009-11-20,3306203.357591721
2009-11-27,3266114.872041387
2009-12-04,3287523.316791609
2009-12-11,3285069.8630291894
2009-12-18,3340082.7297019283
2009-12-25,3310828.8220082866
2010-01-01,3397331.1865285356
2010-01-08,3397591.675390056
2010-01-15,3347495.242655516
