Date,1990_dow_pmcc_cc_nat,1990_dow_pmcc_cc_nat_conv,1990_claude_pmcc_cc_nat,1990_claude_pmcc_cc_nat_conv,2000_dow_pmcc_cc_nat,2000_dow_pmcc_cc_nat_conv,2000_claude_pmcc_cc_nat,2000_claude_pmcc_cc_nat_conv,2015_dow_pmcc_cc_nat,2015_dow_pmcc_cc_nat_conv,2015_claude_pmcc_cc_nat,2015_claude_pmcc_cc_nat_conv
2017-04-24,186395792269.79865,46774490.08357014,202999313351.57083,43034445.062452644,63268781.21656998,12486634.470131071,69170019.11476073,12695244.88714484,149675.0428885288,100423.5969749024,107608.973860667,98572.08657018607
2017-04-25,187521295575.23022,47078091.64058349,206269544614.15216,43329966.73775482,63980129.4552184,12496318.777277727,70126853.25361165,12699477.068752639,151327.3092109923,100787.86044311139,108683.00284045252,99089.85717397806
2017-04-26,188402488422.02603,47169136.601861134,207024114338.00403,43384029.24302797,64765722.45321205,12575146.480613127,69928214.91482842,12764247.812142463,151918.59798285775,100978.88539786855,108983.08027823357,99220.76284097826
2017-04-27,188049299391.0701,47146879.36674024,206341963965.21564,43389107.55551933,65569761.66515469,12661176.561013943,70667748.8154336,12843929.856845854,153980.26813461687,101272.31631396424,109356.65803496183,99549.93430288811
2017-04-28,186281710774.8355,46963028.77949172,204582465809.34033,43229291.82707964,64199642.123516925,12579231.550393084,69160149.04572836,12751683.896923937,148772.96108393066,101697.63714326595,110280.19994184186,100159.27152532297
2017-05-01,186128975346.97833,46931239.08718277,204675609072.81775,43221559.51932676,63500394.39510097,12448439.702112924,68232206.32728735,12620580.629590925,150172.30227193018,101732.34186131562,110647.43416464976,100171.29043230774
2017-05-02,187582882748.19003,47051074.07862335,203554043564.7182,43256506.27970242,64210758.95401714,12545958.65267325,68411784.94908419,12712942.815867143,151671.83737225927,101571.54554391933,110643.82721397642,100281.87162703878
2017-05-03,188155396141.8427,47085791.75067525,205537441097.80396,43336350.356767826,64601238.961244315,12589873.197122399,68809014.2561522,12748067.566341178,152944.21227517404,102860.23773498891,111645.74544369754,101331.98375412152
2017-05-04,189658154226.87088,47055619.37559737,204035152676.67026,43282849.042911954,66433410.33673997,12594206.513672713,70727409.33322863,12762801.304883791,155420.84087960885,103493.65464532508,112064.80164196779,101794.85083793562
2017-05-05,191498644449.32404,47284007.07462366,207593449146.7191,43505845.73768822,67051471.54772543,12604373.649369905,71386539.27591503,12778983.484397976,156418.0209543259,103896.47593460973,112356.90040105183,101876.49276982887
