Date,1990_all,1995_all,2000_all,2005_all,2010_all,2015_all,2020_all
2024-03-29,236309099.18344972,69104278.93996373,68309583.41554236,17028573.000183243,10888889.531500116,4580991.437070313,2781650.9579876536
2024-04-05,236316170.0299052,66207794.6927076,67106857.14395883,16542372.13821465,10782562.405044835,4551920.624834767,2733396.166535433
2024-04-12,229552443.9095444,64513611.87050581,64826342.62647601,16169357.345684526,10721076.15124854,4479727.013796852,2658286.838712157
2024-04-19,232689858.50333238,65228707.072678685,64513306.1671868,16469246.913472865,10622025.614622403,4327890.850261023,2591658.010668246
2024-04-26,233277668.56647375,64349583.77007042,64035589.24906304,16733045.489543477,10822671.34401677,4467035.281149382,2660328.7966680084
2024-05-03,233017063.28784868,64483397.78660521,63272511.35444707,16761402.071466565,10894943.93892992,4521031.419224924,2659037.357476242
2024-05-10,235107336.8761008,65294337.81208602,63709552.80371684,17121116.11003356,11141135.291336043,4589834.350596931,2677274.8910738663
2024-05-17,234878066.0844465,65900550.38452578,63176888.752311714,17195868.95461016,11232137.713560665,4594057.31990476,2697393.966587435
2024-05-24,233027261.86547405,64869480.24482729,61596302.3963703,17083773.02380606,11150457.11985933,4611706.92646893,2720469.343466896
2024-05-31,229624280.22366086,64243037.09472114,61945548.75328358,17132981.50256222,11164316.087124312,4585193.177113659,2680821.782762504
2024-06-07,228844774.5017224,64411837.9325721,62518746.338579044,17205806.506644547,11248315.336364118,4640863.690560642,2697375.2769450475
2024-06-14,229775207.85627407,64870799.75897483,63383107.66157657,17248992.152891196,11292264.856987987,4657367.293564441,2743549.1410300494
2024-06-21,232755911.4472975,65377747.20333216,64637960.74355702,17451223.00087237,11410859.227291076,4699934.988701526,2767309.6546442565
2024-06-28,226025445.65306756,64367742.51235401,63094445.2517727,17279175.736312702,11226522.047577586,4668411.333134792,2793519.649864374
2024-07-05,227442500.7222039,65215732.93417297,62759155.51602508,17359416.437778812,11218872.653754598,4737536.51281119,2849618.4584034453
2024-07-12,229187723.32580346,66600049.85919501,63457862.497131675,17829133.52040933,11416362.45351078,4787419.29505283,2857491.6345829135
2024-07-19,231611402.35182074,66953310.6215221,64092916.456271395,17826466.13574659,11412097.761170447,4644082.995747569,2775851.4235099303
2024-07-26,232374094.27047175,65954740.897518136,64743064.04584878,17752442.819914095,11276096.5424223,4481025.49504992,2680743.361747835
2024-08-02,226025698.01124144,62026058.99667337,64326660.83506417,17496114.79648765,11052540.010155097,4256994.846229733,2626597.289066221
2024-08-09,227830990.03106123,61985410.985876374,64313960.90398388,17558722.80888386,11088757.506373947,4356957.635657752,2683081.000188204
2024-08-16,236883922.25714806,64860504.1007027,67506950.27478814,18157125.95015915,11475956.529724566,4527081.534496155,2753829.3857035814
2024-08-23,239932765.0694182,65225573.22261961,67568689.5275306,18398846.114067066,11658175.998517076,4577507.696495748,2747870.385073321
2024-08-30,240736604.81789687,65962376.57917057,67935677.62115839,18494959.067687243,11736494.22683977,4550228.029928929,2742468.8547514305
2024-09-06,237790114.39483264,64897649.53715035,66462037.62065104,18389231.83896973,11455904.402763803,4396190.4415027425,2686345.965512264
2024-09-13,242906015.2459546,66348755.26962151,67209581.07318975,18516579.62710168,11583284.561393984,4516929.218590828,2761061.4569651014
2024-09-20,245003066.57450074,67044235.338293165,67294973.62782565,18533089.532645177,11800548.213000858,4628656.308864115,2787725.71691273
2024-09-27,250346922.24896866,68416344.87639673,68287146.78652036,18714934.94715523,11999860.690825507,4698194.099913689,2828221.244595239
2024-10-04,248855292.10541594,67212457.22368155,67636565.21278338,18414734.701712098,11792219.969002962,4599779.509269292,2836846.117804411
2024-10-11,253007833.40113458,68293156.35383819,68291553.21520819,18537206.943076283,11887559.960507553,4698827.2713717325,2900825.650772988
2024-10-18,252512681.282197,67810038.46563633,68524341.37890145,18544180.036665644,11931797.656013826,4633086.867392783,2774548.656964303
2024-10-25,250129638.2128402,67732485.53398572,68301139.15271021,18423840.333440516,11876545.567432454,4604487.120675408,2748959.2104257816
2024-11-01,250952607.28953815,66967783.17881272,67453962.14360885,18297376.00527302,11776093.962859448,4517813.594409888,2732678.871981862
2024-11-08,256450206.2942939,69304689.19018863,68792245.88904983,18695005.991857626,12038915.891145434,4589365.545800318,2774259.588221152
2024-11-15,260215875.71186972,69524724.28789894,68739448.8201927,18570597.34690157,11876414.73269031,4500750.427946978,2704194.8414036455
2024-11-22,263928898.5135473,70253589.3954716,69152321.07935496,18734890.786520522,11937165.974487709,4581673.949850829,2782060.1201958605
2024-11-29,264108382.91911706,70512224.43795754,70728512.1706178,18979105.8144136,12142116.806672888,4703815.269821076,2840609.5557515523
2024-12-06,265039708.6810228,68724099.44240388,71236665.2406887,18680832.276410073,12217127.604143014,4739846.176722354,2807032.343774707
2024-12-13,263947810.1156768,66737677.70889157,70329720.11402269,18142315.922567844,12128750.56092603,4720128.249691491,2790374.7703278307
2024-12-20,258271852.66940492,65822504.26553503,69541860.50422753,17893830.72104043,11994495.097062767,4646821.793975666,2751135.083853611
2024-12-27,255974635.98245862,65329678.14772194,69550537.0819565,17946079.327186964,12000346.03572468,4647819.139588571,2753089.259901741
2025-01-03,256256960.09408385,65430520.02539309,70567545.27909069,18031124.880659454,12054301.2328605,4689947.151059441,2798945.90258349
2025-01-10,256283632.36626887,65636435.91010721,70769178.56394453,18154928.179346994,12125542.558843618,4629133.350393428,2773049.1164142448
2025-01-17,260655170.89646602,66211485.63964467,71064967.26757273,18159143.783555917,12162293.049782053,4754781.383205005,2900548.940625177
2025-01-24,267619833.58409014,68079937.2480904,72218895.7006372,18728972.520344865,12419971.882106755,4788436.862268332,2918626.614963749
2025-01-31,262844189.45985988,67462774.41442934,71943756.80093999,18654883.95482957,12308675.245395415,4832702.083751711,2855316.7649078234
2025-02-07,261812092.84361914,67230089.31264284,72207954.06584214,18432004.53109221,12061522.189522672,4826830.370076522,2881345.050414091
2025-02-14,264874389.93185765,68949264.25051895,72709502.57069123,18387813.16164941,12138028.443597382,4910521.162437538,2795685.3694123924
2025-02-21,260794487.9181575,67267400.68964933,72134117.37360169,17698948.773088142,11885735.282451194,4881773.3226125585,2722658.764201117
2025-02-28,261389746.62257838,67163172.32180637,73858419.53241654,17926317.214781903,11819188.207109978,4816555.2826340245,2648688.0484304414
2025-03-07,250627553.2645932,65310110.93013764,72315366.3850761,17675197.716026884,11701998.536940504,4769738.40386353,2574049.737629951
2025-03-14,246592854.34517646,66617216.80419917,72605006.83997567,17432816.64308851,11432480.190162625,4642670.373922073,2586695.949280971
2025-03-21,251569154.0290327,67148057.34721746,73716427.6121517,17700249.00099097,11551518.169900235,4721661.618682592,2610348.8875588784
2025-03-28,248180035.8309527,66534862.10657953,74383458.19418885,17818173.266351007,11441476.029916918,4674516.88759391,2568042.8070029607
2025-04-04,224855686.33305252,62403110.62759387,72545775.29086985,17218713.73837424,10669411.051113546,4152180.253307374,2341515.990383517
2025-04-11,237394167.26740503,66838906.21495832,74418180.37487783,18460601.35158351,11460255.454347836,4430156.206584476,2501262.5457487046
2025-04-18,231936864.82917786,61746304.94962263,74723634.39761126,17070464.0719528,10766239.388959398,4323583.046257666,2410605.898932708
2025-04-25,243638720.25023255,64018628.32867104,75665591.35539702,17410033.86585285,11233894.953667445,4582966.068018133,2544554.8402709393
2025-05-02,252336213.018611,65461689.93782933,76473171.35757488,17488491.27481306,11189010.6481044,4555537.769958884,2696363.4351705792
2025-05-09,270620727.71433324,67254448.86623321,76638689.3118482,17672192.86480169,11218587.973804258,4756733.793928506,2757651.988851595
2025-05-16,273770856.54916954,66442435.33628708,77470437.77406847,17634929.797069713,11339832.934446668,4825591.283240064,2821779.2920838045
2025-05-23,267426154.36151922,64853502.16497354,77275818.44230989,16930576.55440495,10997485.839382578,4685396.347067426,2748874.8846175894
2025-05-30,272003838.2319334,66106451.24523811,77658602.2398471,17198647.49291959,11236650.077562183,4754567.988552664,2732907.8278602464
2025-06-06,275998551.9450616,66670990.31166509,77971043.49710852,17404430.386858266,11364148.846263,4838679.254747937,2866603.0682748207
2025-06-13,277483049.90482473,66613612.74259352,77064907.97732759,17359688.167881392,11280750.602864463,4856225.235199001,2866345.7336721835
2025-06-20,275778165.47409755,66388656.05717111,76932015.6346936,17354347.418393295,11170185.236322153,4787985.834088546,2799706.185403582
2025-06-27,282688851.7532764,68480214.69456111,77746754.8138478,17522541.325935446,11472264.116136028,4961775.13321263,2943375.5298466957
2025-07-04,283712661.8373984,68872346.55394328,79290122.11327088,17744419.94188565,11674051.598917587,5076798.773308952,3016050.465833522
2025-07-11,284683085.3281586,69256835.21565145,78568056.63881408,17561153.470203035,11673114.855160344,5046011.503255312,3061984.7867192244
2025-07-18,287213907.52532214,69288840.1381171,78077692.79989229,17482402.266922154,11647937.91281886,5095064.772865917,3128351.471085649
2025-07-25,292452812.37407124,68794620.21067503,78734929.37675236,17939013.81803462,11892311.204509996,5157151.981519906,3149479.2256436436
2025-08-01,284430563.6274868,67267052.36276802,79618882.21320322,17507149.93160469,11648540.471296474,5045354.457659312,3141293.376499289
2025-08-08,280905063.74507457,68653119.38722214,81038996.7235946,17926253.083403934,12166799.692285027,5250627.093109947,3171888.28886598
2025-08-15,287648070.9177228,72230991.0867075,80291795.84637019,18629149.512175404,12491046.580662113,5338472.391398395,3203206.9372224873
2025-08-22,296271727.71593183,72461621.21824454,80025541.35299417,18731489.226248354,12436255.91907605,5370450.957371025,3215112.157156569
2025-08-29,299058683.6245119,72528386.78369755,80454046.29637404,18881246.409612823,12509364.93154985,5386780.668894925,3202618.1978579564
2025-09-05,298417414.28128785,73048849.41371205,81516234.93789156,18925700.189281978,12556912.423347946,5452363.008642011,3270847.671380902
2025-09-12,298343290.2538062,74833600.0751388,81961750.0036816,19217373.94700185,12742818.75588671,5491365.684171543,3291807.8527659946
2025-09-19,295105256.5507654,75606760.93181282,80077047.94240533,19195644.552926403,12956666.59013326,5549372.205576433,3380491.3793557105
2025-09-26,297299500.92602134,75880353.84662916,81547938.93284927,19467900.745338175,12952004.725257162,5591545.49043332,3361805.6765941707
2025-10-03,295501305.30380636,75918696.71047251,81610634.90140043,19630562.120606974,13120563.985903082,5672378.377518976,3414236.428997806
