Date,1990_gro,1990_bench,1995_gro,1995_bench,2000_gro,2000_bench,2005_gro,2005_bench,2010_gro,2010_bench,2015_gro,2015_bench,2020_gro,2020_bench
2024-06-14,73884307.24376027,15470278.550203307,38518652.293010496,19871319.585239448,40086888.56886184,5787048.183159194,12945488.048370888,6613183.595754359,11564029.689905645,6181270.642486302,4156128.499710033,3132670.120654422,2705297.3958569714,1780191.0937559586
2024-06-21,74915716.50738038,15398597.997703956,38911116.75860472,19998967.34397428,41531232.48905265,5824222.55032198,13097527.277762763,6655664.824063277,11632891.708456976,6220977.383664825,4123754.260308601,3152793.5109527768,2702863.968870682,1791626.539814934
2024-06-28,71620895.04064919,15475535.519694615,38143843.86203228,19988314.92337119,40262536.93569067,5821120.286728819,12836898.119359236,6652119.693963322,11464523.936468031,6217663.789192003,4113391.953514464,3151114.180116553,2726435.52398544,1790672.2325680887
2024-07-05,71761470.68446237,15751858.342683092,38769016.80822667,20371024.13087653,39566782.693766706,5932575.221287731,12932837.904309284,6779485.480727603,11676986.621488662,6336711.202163973,4187996.570105645,3211447.4505925546,2782202.7634940296,1824957.6014776344
2024-07-12,73655492.67597236,15916843.547967905,39434596.57273034,20567520.214241706,40246378.724664435,5989800.0219537625,13273089.246176025,6844879.460707966,11774007.350575348,6397834.2426474495,4227828.412017471,3242424.628859112,2797723.3011241686,1842560.8902810838
2024-07-19,74653089.1269522,15728002.549126452,40022992.81064441,20163508.46032134,40322316.61880065,5872141.228511754,13351576.669142235,6710424.177451251,11664153.794160012,6272160.354558892,4116274.5455307118,3178733.0584794767,2691659.330417368,1806367.1124589005
2024-07-26,75077295.06397773,15442889.587337729,39883190.39915039,19996394.883074656,41313232.5285171,5823473.382401272,13368713.149089951,6654808.707983559,11539203.795235347,6220177.181294288,4004510.7951602223,3152387.968111888,2609161.971961168,1791396.083454806
2024-08-02,72776462.61617866,14659345.8064446,38320324.50344046,19572553.8386693,41480808.81637996,5700039.780749761,13104104.262825109,6513754.228433497,11298307.229234468,6088335.096342385,3807241.2867481825,3085570.353407433,2529896.779733922,1753425.8797558479
2024-08-09,73129297.16151752,15106108.164838566,38291290.48347716,19575853.748369265,41139545.01166285,5701000.800794346,13086788.554205054,6514852.439782859,11339251.808445532,6089361.582523324,3896071.474277773,3086090.5769624715,2599744.5656812578,1753721.5053096958
2024-08-16,76254714.49300037,15851917.421483377,39803614.13447318,20358905.338716917,42613538.32443979,5929045.911930667,13534763.199855171,6775452.341550985,11689063.788727429,6332941.470925073,4058318.06836579,3209536.9494839595,2715544.504284387,1823871.9279380848
2024-08-23,77442954.7973725,15876196.919328239,40182422.20593272,20646121.401337177,43026434.61483691,6012690.744184051,13871035.778857453,6871037.969149082,11882975.587482186,6422284.315435706,4072945.491836372,3254815.9342883127,2696222.609153214,1849602.4524997268
2024-08-30,77743715.26677029,15965402.543657629,40580823.170902796,20703050.580639537,42988441.20305569,6029270.010711231,13865946.72282246,6889984.024194253,11908623.91501586,6439992.986629535,4077769.6483834153,3263790.695034768,2709085.935309801,1854702.5072562401
2024-09-06,76748705.75307919,15464116.206076587,39996410.89279445,19846538.135413337,42303583.86569498,5779831.176579582,13723119.80840993,6604936.318729497,11605560.095381655,6173562.002522494,3866147.7560769347,3128763.3792282296,2558662.8807459814,1777971.0239673587
2024-09-13,78655413.70064132,15922128.12034444,41461857.2353697,20641710.812711768,43064643.30886263,6011406.265376196,14054038.779119816,6869570.123381716,11864153.934296424,6420912.335992198,3966390.6938376096,3254120.6146271275,2666399.075337203,1849207.3257163498
2024-09-20,79960489.876852,16163740.315161118,41862738.752800874,20934913.98549004,42571697.79523292,6096794.700756369,13984675.51017187,6967148.263782652,11959033.25714032,6512117.560507051,4025981.097527861,3300343.454268126,2718757.5953744794,1875474.2112446052
2024-09-27,81220307.50744419,16287853.928291671,42310244.82979989,21053538.625351246,43496075.61326364,6131341.299619218,14086010.18621967,7006626.594299019,12049271.298625156,6549017.525841728,4094651.1730096475,3319044.3695884473,2748719.0579664083,1886101.3126041845
2024-10-04,80186118.03731184,16099776.149226716,41689506.525034525,21109173.542434707,42460230.4128173,6147543.64312474,13835196.626636548,7025141.918328168,11804172.289907863,6566323.597448596,4038492.692696732,3327815.092723608,2783116.5706539676,1891085.4196469495
2024-10-11,82249712.4799246,16563074.016015368,42851196.708321005,21352325.02504191,43229432.7871596,6218355.716757721,14014074.41555816,7106062.834987158,11976837.246030476,6641959.496447139,4166715.6346680713,3366147.392754765,2887126.6451688427,1912868.3768337702
2024-10-18,82035123.03574573,16546481.921705969,42197930.15425545,21536897.37349677,43794859.290253446,6272108.013841229,13966889.08826618,7167488.590926296,12023129.934984626,6699373.481161382,4048751.860005461,3395244.820261948,2736182.373090404,1929403.4664871534
