Date,1990_dow_ds1,1990_dow_hammer,1990_claude_ds1,1990_claude_hammer,2000_dow_ds1,2000_dow_hammer,2000_claude_ds1,2000_claude_hammer,2015_dow_ds1,2015_dow_hammer,2015_claude_ds1,2015_claude_hammer
2021-08-04,40479445.82737356,30153749.91298761,30751999.735140108,11829585.898413233,9446792.616063453,1174718.8975824853,8507990.6552783,1576926.652874552,340674.4017725891,370927.1210990126,314819.6407037012,272968.03877422825
2021-08-05,40677244.92773449,30184638.96168552,30868986.549209226,11820747.42515217,9294598.619788053,1127653.220204863,8350256.3367104,1576859.888770889,341280.7240005927,372135.97330437077,315204.08200985234,270362.62567134027
2021-08-06,40717948.49482767,30176982.416522548,30891392.363028653,11751879.871823398,9307840.95375279,1122654.963938899,8363125.027837723,1570220.976396255,341700.2707485648,373441.0686495772,315383.2186166483,268390.12368209765
2021-08-09,40719293.59101853,30256275.509254858,30899408.02960304,11808252.709003845,9307977.102029292,1122586.9263954884,8351069.378190353,1578877.6719505668,342342.5763234546,375895.97562370385,315924.2315273898,269384.5688540393
2021-08-10,40738359.910342775,30229069.933227032,30948261.06188312,11825915.94936999,9393145.669124223,1125476.2176306807,8429310.285020987,1581535.528235253,341599.5261120091,369506.1996819603,315527.0841308215,268612.4337633564
2021-08-11,40840625.47786867,30263131.604357056,31032893.674881678,11823090.712737706,9421158.902515382,1125760.4205461969,8465539.60009491,1583370.3285991976,342900.257115844,367383.70940035506,317038.47256026464,268872.17036797444
2021-08-12,40896362.984903954,30023053.862892512,31102169.241969705,11815563.997213235,9410351.264996396,1124710.5846516187,8459393.74301401,1585556.7394667692,343123.779984367,369426.411525162,318391.303364854,268992.3962563196
2021-08-13,40973061.34064291,29814778.606916312,31160594.349563733,11837841.549382024,9395204.475297678,1123256.8561799226,8445820.169690879,1589428.7693291618,344829.6206614074,373749.26623091946,320142.2447897531,270523.7018553307
2021-08-16,41104430.2862563,29886074.168421388,31293056.535599574,11897593.950062957,9465692.171568278,1132092.7262290958,8511771.587093404,1598268.5493628122,345483.1321087024,377890.90692123555,320636.1266448079,271285.33893518563
2021-08-17,41057818.910220064,30013462.753120713,31275365.11602599,11954821.231365012,9419190.691859797,1143013.6402880289,8496086.370371794,1603807.3911092593,341647.72895857773,383854.6016796371,317700.7768977156,270273.2035253806
2021-08-18,40904075.01446606,30270540.421556503,31145198.90351884,12022971.82825228,9448736.814046396,1159468.003280234,8547810.199952824,1605430.6117537676,338899.68199826375,388820.3524129803,314705.2944886938,272061.0442279645
2021-08-19,40896866.85682285,30126661.759961095,31147120.91025345,12066459.891665164,9443446.678085472,1160015.581135783,8562569.168303505,1614050.382493624,338885.0501680174,390926.608213223,314087.8089941052,271230.19363917544
2021-08-20,40967213.058861196,29792410.89078109,31184813.82852737,11986107.371598886,9446604.23528349,1143823.528616082,8524009.227992779,1608539.091936106,340778.5065075673,387303.41469270695,316204.6317798084,269260.2998536388
2021-08-23,41074501.29730381,29663561.233880393,31264647.249283727,11937481.895518048,9455709.772026332,1142867.352901572,8538125.034034112,1603551.3268035864,343886.258574214,383950.2087030971,318979.41246034956,269772.00584216724
2021-08-24,41062419.76120139,29704453.961302888,31261048.65519411,11906913.55066558,9437138.418076694,1140303.573806587,8525660.77788271,1596177.1162166228,344437.88972350204,385616.75140497054,319710.71897790866,270258.0303838592
2021-08-25,41153656.29317553,30113532.861238007,31302161.580755886,11900856.468397519,9461755.42569721,1142645.6517709722,8543607.862215482,1593292.348067647,344730.38089975575,385147.1755418121,319510.96010642155,269484.6021992186
2021-08-26,41039752.045947656,30314521.437507156,31242248.43017289,11944479.850276032,9367794.023385936,1151483.9161139054,8470526.388504738,1596023.2056473666,342568.06062241324,388172.07497245714,317791.82881780295,270124.88657150615
2021-08-27,41141909.06449471,30293398.034972515,31295489.015554745,11870509.652343906,9323614.846370542,1143666.1408835393,8428882.108253166,1591275.7066767842,345500.51880036446,384374.7682004262,320017.58554891776,270049.6538231979
2021-08-30,41168055.25494893,30003955.05850952,31331833.801808,11897688.532665974,9316772.345924787,1143643.0876862388,8424352.01180302,1595740.1215219551,347957.7533229573,386998.1109585171,322274.8969278552,271535.05325768737
2021-08-31,41240878.06960662,30216233.32928501,31366882.740967475,11904470.872326951,9322702.702640494,1153330.9015414356,8439682.494812462,1594272.2709484189,348085.8054426871,386592.2568667092,322634.8880681903,272565.3623545095
2021-09-01,41241852.03449264,30141524.315107793,31356453.23281326,11940209.568846015,9306677.828981608,1152830.8554333823,8434401.554578193,1603710.1398172395,347792.17656030104,389189.032149831,322369.7850590814,272086.3661108735
2021-09-02,41350579.63329076,30070377.111704372,31477120.40260709,11956169.334282506,9344270.75322083,1164489.91853687,8469515.604798684,1605289.7090543315,348310.0729889346,392079.49144783476,322809.57239935844,272137.98560612625
2021-09-03,41285853.37278239,29903499.856727827,31450373.085207526,11963467.143945573,9326429.073413558,1166312.666292152,8460449.079750858,1606594.0288515284,348502.54155199544,392808.452140004,322582.8782655914,271410.79980028304
2021-09-07,41242950.053750984,30120829.909607235,31378926.082659125,12026447.79146786,9343320.544745086,1187429.7963418302,8474899.100155978,1610499.0290846995,349387.39355913963,400359.0094617651,323308.09806966165,272261.1325516446
2021-09-08,41200544.10290696,30051869.980649278,31346688.13470807,12062449.29396791,9363328.511038126,1184555.4657194612,8482341.462117696,1618910.853731056,348993.17385888466,401244.446984327,323096.99370552925,271075.0495117948
2021-09-09,41099542.92431246,30200027.150064908,31210663.763477013,12066314.679743752,9366455.457160821,1189242.6530065692,8485489.12407836,1616784.8780701421,349660.70928778185,401842.8483806217,322110.2938573938,270360.6399489541
2021-09-10,41110850.37392937,30412541.777036414,31224995.41266628,12147142.778180804,9376470.237832094,1197741.1987416442,8491473.624182506,1622006.4417246457,350871.7295098422,403550.1709013267,323229.0645661853,273386.895180392
2021-09-13,41150186.49798303,30400733.812339965,31216526.878351487,12156275.443059934,9348148.358228154,1191021.1541604346,8483743.310649907,1629621.9594041207,350889.4307921464,399241.8337989424,323068.3663427462,272928.1085642312
2021-09-14,40927671.25736828,30187984.708044708,31027354.70569384,12143907.3641993,9315636.00672313,1185196.8624239569,8451870.265865186,1628561.571449578,350093.4806560098,401924.31957030017,321835.65703481826,271232.6326331196
2021-09-15,41065260.29234202,30151830.484968644,31145352.27458347,12104010.221041722,9324973.014782894,1184283.9320917672,8460531.211353093,1625013.7789576917,349203.30594943,399744.04086078994,320854.664184115,268589.86222702416
2021-09-16,41057830.30119086,30310086.434394237,31108519.886675883,12101154.795750443,9377882.773748793,1188209.8251312322,8487906.87003974,1621076.2559599008,350390.5130291232,400480.0342251485,321597.73496680404,268796.3288087498
