Date,1990,1995,2000,2005,2010,2015,2020
2010-05-07,54857219.493416406,7967559.732687375,8549455.266381387,1775824.20795003,1010905.4172846217,,
2010-05-14,53730886.58745018,7920405.529866438,8605365.243614873,1794051.3633688237,1017305.0153191364,,
2010-05-21,51345636.015608124,7515238.42090601,8531128.584463576,1732720.7595830976,995557.0498666532,,
2010-05-28,52087545.896864824,7610530.445242448,8725242.429210808,1746055.914183603,999302.9424461934,,
2010-06-04,50855119.55554467,7468514.346027266,8522076.207161922,1754945.9539869677,997848.6055852865,,
2010-06-11,52662899.39460682,7651505.689641741,8756675.32416135,1790715.0127277754,1007621.742758201,,
2010-06-18,54274373.2836929,7777022.797417919,8824246.285286708,1818427.1888651538,1020528.6208772624,,
2010-06-25,52594446.862943664,7485619.592209959,8676921.228083069,1752918.2639441798,1001828.4889015981,,
2010-07-02,50522686.30023884,7191541.872735977,8623985.506690875,1705875.2292654822,979680.301663555,,
2010-07-09,53623820.87151623,7605909.209124736,8620794.987424908,1769403.498401009,1007520.0821662486,,
2010-07-16,53062332.33927684,7704210.271283977,8716370.210150022,1777115.146030399,1002820.0902398843,,
2010-07-23,55564496.98682683,7937008.089478378,8925603.048859106,1827694.8327783798,1025904.3381434184,,
2010-07-30,55669391.56095727,7897474.343026373,8954716.38025089,1819375.397538766,1026908.7895477199,,
2010-08-06,55967954.2161884,7981497.684567869,8738667.031428417,1819856.7147623089,1038485.4701286743,,
2010-08-13,54162289.50116768,7656241.9211676475,8606637.460360087,1769222.6297145244,1013378.4995542483,,
2010-08-20,53655514.4041635,7587665.186179209,8807480.917795254,1775681.9715709426,1010677.7074776988,,
2010-08-27,53139098.08328229,7471182.646782154,8859228.592995763,1778886.0018099314,1004571.2462850439,,
2010-09-03,55500935.9052639,7741107.695242042,9096963.655768966,1855103.1216986724,1039232.1601453025,,
2010-09-10,55388723.69528109,7849805.260548725,9152875.726929428,1870106.61746302,1048577.1570531866,,
2010-09-17,56556313.31533079,8042199.491734235,9350311.016199013,1904385.3717802763,1068676.9595214906,,
2010-09-24,56139840.17375481,8066863.243537741,9368356.379643252,1929007.4931774698,1084260.7944964545,,
2010-10-01,54878622.04829327,7988476.637841823,9443690.578771234,1907712.7924806334,1077944.8042170594,,
2010-10-08,55563297.69313431,8143874.16985916,9559349.983163789,1929368.295791058,1095886.3690417265,,
2010-10-15,56387939.12341435,8218803.782075052,9640290.234956315,1956588.9476000255,1119037.5647330375,,
2010-10-22,56798997.76708438,8373442.933652367,9784923.241866238,1979671.3223954565,1129653.4222943017,,
2010-10-29,57595989.82250362,8429595.53410581,9764980.468384298,1978202.9661078483,1128336.6508735493,,
2010-11-05,59172608.93429901,8616703.682913058,10020116.599546477,2033684.1378103923,1153510.5414057972,,
2010-11-12,58686544.446551725,8514088.424904006,10014082.565842433,1999719.670085482,1137988.1712277287,,
2010-11-19,58672848.40149637,8568294.276335137,10116543.25271971,2026748.6529002653,1145405.0600097138,,
2010-11-26,58604044.64116345,8533521.77797499,10355410.235055778,2027459.1018209865,1145292.437597292,,
2010-12-03,60314691.022270806,8772563.761233876,10542770.4638042,2073229.0863133874,1161511.6462662532,,
2010-12-10,60677062.35376758,8808314.455745498,10586909.565699983,2090145.382763115,1172551.7483029554,,
2010-12-17,59689847.72379924,8789011.548428193,10687721.490204217,2063526.0629073365,1172358.3522192058,,
2010-12-24,59762115.10343783,8758177.2575338,10646907.643853644,2078457.6382746624,1174769.790603375,,
2010-12-31,60172597.062335365,8825967.090022832,10616550.552432572,2092070.263574634,1181323.261302646,,
2011-01-07,60410970.30992682,8780660.854454426,10174334.521195367,2113183.799714015,1192467.0429876319,,
2011-01-14,61254459.64081401,8959247.698302455,10169866.936724141,2152639.0881106406,1209195.376059676,,
2011-01-21,61719150.60895664,9016068.359555123,10291390.43052966,2148896.583729865,1202428.9325047196,,
2011-01-28,59990656.151118346,8963023.924941693,10179176.068967765,2158212.969047535,1201150.9468893928,,
2011-02-04,61625559.72164549,9115063.26675482,10199220.067948896,2191863.027374908,1225657.6549486641,,
2011-02-11,63355168.99413654,9190769.89854946,10302657.555004044,2221650.4103167793,1238498.1724312662,,
2011-02-18,63414727.42602949,9310453.723695468,10475560.247671703,2241727.594562735,1247206.314878462,,
2011-02-25,62814785.73814877,9170949.174792109,10327201.505395243,2225402.8238717397,1234944.265185752,,
2011-03-04,62846733.653865725,9193888.19444286,10472253.972955156,2235814.990023212,1234275.636843502,,
2011-03-11,62536015.95052701,9114138.960584115,10600144.115791766,2223268.038330266,1221041.7904011032,,
2011-03-18,61903869.79359764,8968785.932834893,10593488.09170641,2210998.213843023,1202727.0158208464,,
2011-03-25,62867813.54037088,9118798.696473312,10790536.742734408,2248838.776837,1218117.6857006685,,
2011-04-01,63539181.76902008,9208985.42861019,10957441.330159862,2292135.8982988615,1237283.608501992,,
2011-04-08,63801383.2212566,9258997.66033339,10901108.597483091,2281592.526898425,1231371.2718044918,,
2011-04-15,63856818.60921982,9232632.890023641,11039710.049801208,2288199.877342761,1227807.762389084,,
2011-04-22,64821348.30203874,9637921.98961016,11153816.234765198,2360525.3268686286,1246991.371890663,,
2011-04-29,66673219.188544944,9910001.687658427,11263194.0420909,2402068.3154773014,1274019.302257899,,
2011-05-06,66612388.61225979,9897522.002676714,11306417.723776804,2400647.9993295725,1272259.4899843063,,
