Date,Defensive
2007-03-16,2243582.675442113
2007-03-23,2239891.864999276
2007-03-30,2277504.5537310205
2007-04-06,2281216.698990185
2007-04-13,2319166.5453092908
2007-04-20,2336929.062071227
2007-04-27,2359561.0775419706
2007-05-04,2330892.6135072485
2007-05-11,2355890.771445287
2007-05-18,2322682.311931424
2007-05-25,2347617.7416877816
2007-06-01,2287541.0804918534
2007-06-08,2306665.9230611967
2007-06-15,2295639.2756954837
2007-06-22,2287345.3393033487
2007-06-29,2298771.465448831
2007-07-06,2317329.2423134292
2007-07-13,2310626.253145106
2007-07-20,2284897.2410677928
2007-07-27,2277960.733144169
2007-08-03,2277416.5667368504
2007-08-10,2243751.204556092
2007-08-17,2290030.4711105116
2007-08-24,2275195.987239336
2007-08-31,2303699.8465352957
2007-09-07,2344335.712983039
2007-09-14,2380539.719487289
2007-09-21,2411436.689086485
2007-09-28,2420268.954579962
2007-10-05,2429633.650990659
2007-10-12,2439784.4247786943
2007-10-19,2470484.9937702324
2007-10-26,2452670.619003802
2007-11-02,2468313.357054835
2007-11-09,2475179.0134052453
2007-11-16,2474195.0711968644
2007-11-23,2537806.5075586
2007-11-30,2568512.5336608086
2007-12-07,2583485.0804968677
2007-12-14,2529916.099489121
2007-12-21,2540860.363553588
2007-12-28,2510451.8786288192
2008-01-04,2577473.6123109492
2008-01-11,2454273.884998657
2008-01-18,2396454.534695986
2008-01-25,2392479.0017347042
2008-02-01,2392243.201161247
2008-02-08,2398296.2978859134
2008-02-15,2393475.560569182
2008-02-22,2429162.997180478
2008-02-29,2375610.9381775307
2008-03-07,2399791.3155337055
2008-03-14,2454679.6364258956
2008-03-21,2446482.1931573586
2008-03-28,2446520.406552553
2008-04-04,2451691.9341751738
2008-04-11,2405282.140502902
2008-04-18,2419026.0292457985
2008-04-25,2451050.74222358
2008-05-02,2406077.345256998
2008-05-09,2434221.032070791
2008-05-16,2415608.337023003
2008-05-23,2435883.2825181973
2008-05-30,2406078.646714111
2008-06-06,2357358.3795612035
2008-06-13,2309983.2966937097
2008-06-20,2254738.1569125666
2008-06-27,2271709.673415685
2008-07-04,2276695.832571783
2008-07-11,2288494.078328603
2008-07-18,2331108.771421619
2008-07-25,2343685.8371789358
2008-08-01,2419298.6983705806
2008-08-08,2462477.9934981763
2008-08-15,2428357.6312837102
2008-08-22,2445807.463562177
2008-08-29,2383732.9249207866
