Date,SPY
2003-08-15,728064.8234590549
2003-08-22,727993.1131204561
2003-08-29,747139.2697066141
2003-09-05,738830.443003632
2003-09-12,755737.037012779
2003-09-19,727306.070977113
2003-09-26,743044.4750207028
2003-10-03,756317.1854078362
2003-10-10,764512.6526762651
2003-10-17,749572.0471420742
2003-10-24,764440.2705780542
2003-10-31,771693.2591106138
2003-11-07,771403.058958158
2003-11-14,752690.775111508
2003-11-21,771475.6089962719
2003-11-28,780396.3247359858
2003-12-05,782789.7202641829
2003-12-12,795772.146528909
2003-12-19,798803.377808858
2003-12-26,810900.4249047487
2004-01-02,826203.1088698971
2004-01-09,829117.5379472806
2004-01-16,836550.5580559009
2004-01-23,826931.6321692915
2004-01-30,824745.6424213508
2004-02-06,842744.2656500257
2004-02-13,839683.6448870444
2004-02-20,837570.4570870723
2004-02-27,845221.883039598
2004-03-05,809734.2502180281
2004-03-12,823943.9812941819
2004-03-19,811695.536375699
2004-03-26,832023.9898792697
2004-04-02,836338.7858381653
2004-04-09,826027.6956411701
2004-04-16,835461.0479349185
2004-04-23,817765.0524115247
2004-04-30,817618.5248461209
2004-05-07,804309.959289688
2004-05-14,801604.0276019308
2004-05-21,825370.2948907139
2004-05-28,819665.8802041007
2004-06-04,836192.3422427131
2004-06-11,832389.9309279973
2004-06-18,839538.2089310104
2004-06-25,828896.529034878
2004-07-02,817887.816480648
2004-07-09,813190.5373925752
2004-07-16,806438.3456508856
2004-07-23,811502.2375472982
2004-07-30,795576.1606620594
2004-08-06,785154.5660088629
2004-08-13,805190.300261432
2004-08-20,815392.2295214502
2004-08-27,826254.1626004217
2004-09-03,825520.1812541786
2004-09-10,830363.9879076552
2004-09-17,817680.9984900524
2004-09-24,823650.6742535196
2004-10-01,836105.265402986
2004-10-08,815396.1761091717
2004-10-15,819818.117726208
2004-10-22,834410.5838413936
2004-10-29,858951.3899630045
2004-11-05,868606.0870489617
2004-11-12,875091.7581645243
2004-11-19,875467.691637483
2004-11-26,882046.0655795245
2004-12-03,881159.0909816104
2004-12-10,892985.3349838466
2004-12-17,896907.1515696251
2004-12-24,899580.754826047
2004-12-31,880865.7839409483
2005-01-07,873513.2910158365
2005-01-14,872622.2018902979
2005-01-21,872102.2599504812
2005-01-28,883464.8218804197
2005-02-04,889257.4050161298
2005-02-11,892897.1665347498
2005-02-18,892970.7242122821
2005-02-25,900248.9877002494
2005-03-04,900397.5305444896
2005-03-11,886435.3428854191
2005-03-18,873365.6718410631
2005-03-25,879479.3560713886
2005-04-01,889022.4570917747
2005-04-08,863151.1470883167
2005-04-15,864940.6307251762
2005-04-22,851445.6518763674
2005-04-29,875751.34213372
2005-05-06,864493.2388234735
2005-05-13,889395.45161643
2005-05-20,895061.8279150043
2005-05-27,900355.2096889232
2005-06-03,898267.7166941165
2005-06-10,905126.9701239951
2005-06-17,897252.1001304726
2005-06-24,892161.6737293793
2005-07-01,897925.5391416693
2005-07-08,920084.4536184416
2005-07-15,918661.3308800672
2005-07-22,932510.5789543423
2005-07-29,926147.5879379516
2005-08-05,926895.9281459048
2005-08-12,914693.918610613
2005-08-19,910202.2819338146
2005-08-26,916939.5270241335
2005-09-02,924500.4333689199
2005-09-09,921880.4869115197
2005-09-16,912197.5759218514
2005-09-23,922120.9768526752
2005-09-30,896109.8568799353
2005-10-07,882803.5585121935
2005-10-14,884607.6529206177
2005-10-21,887840.160174362
2005-10-28,919188.9140854724
2005-11-04,927233.1514712123
2005-11-11,937006.0782489108
2005-11-18,954973.5486255715
